"Jp","En"
"ふん――なるほどな
突然慣れぬ力を感じたのは
貴様が仕える白竜からのものだったのか","Hmm... I see. 
So the sudden unfamiliar power I felt came from 
the white dragon you serve."
"貴様に新たな戦技を与えたい――ということか
いいだろう、この力を使って編み出した
新たな技を伝授してやる","So you want me to grant you a new combat skill.
Very well. I shall teach you a new technique
forged with this power."
"しかし、その前に試させてもらおう
貴様が森羅万象への敬意を忘れず
霊力を操ることができているのか――
この技にふさわしい者であるのかを――","But first, let me test you.
Have you kept reverence for all creation? 
Can you truly wield spiritual energy? 
Are you worthy of this technique?"
"――以前、レスタニアの訓練官が
ほどよい鍛練の場とやらを記した
リストを送ってきていたな","...Some time ago, a training officer from Lestania 
sent me a list of suitable training grounds."
"今回、試練の場は
レスタニアの中より選ぶことにする
準備ができ次第、向かうがいい","This time, the trial grounds will be
selected from within Lestania.
Head there once you are ready."
"――念のために言っておくが
試練の場へはエリアランクが足らぬ場合
足を踏み入れることすらできんようだ
その場合は素直に出直すべきだろうな","...For your sake, know this: 
if your area rank is insufficient, you cannot 
even set foot in the trial site. 
In that case, you should humbly return later."
"試させてもらおう
この技にふさわしい者であるのかを――
今回はレスタニアにて、試練の場を用意する
準備ができ次第、向かうがいい","I shall put you to the test—to see if you are
worthy of this technique. This time, the trial
shall take place in Lestania. Go there when
you are ready."
"――念のために言っておくが
試練の場へはエリアランクが足らぬ場合
足を踏み入れることすらできん
素直に出直すべきだろうな","...For your sake, know this: 
if your area rank is insufficient, 
you cannot even set foot in the trial site. 
You should return later."
"今回は俺も貴様と共に霊槍をふるおう
たるんだところは見せてくれるなよ
――行くぞ","This time, I too shall wield the Spirit Lance 
alongside you. 
Do not show me any slack—let’s go."
"たゆまぬ鍛練の成果を見せてもらった
――どうした、我が庵に戻らないのか
戦技を継承すると言っているのだぞ","Your ceaseless training has borne fruit.
...Why hesitate? Return to my retreat.
I shall teach you my skills."
"ふむ――
鍛練は欠かさずにいるようだな
霊槍が貴様の体に馴染み、霊球も歌っているようだ
森羅の加護を活かした、よい戦いだった","Hmm... It seems you have 
not neglected your training. 
The Spirit Lance has become one with you, 
and the spirit sphere sings. 
It was a fine battle, 
making full use of nature’s blessings."
"今後も鍛練に励み
さらに気高きスピリットランサーの
極みへと邁進するがいい
この戦技は、貴様のものだ","Continue to train diligently and strive
toward the pinnacle of becoming a noble
Spirit Lancer. This combat skill is now
yours."
"日々の鍛練はそのまま戦い方に映る――見極めさせてもらうぞ","The way you fight mirrors your training.
I'll evaluate you."
"言わずともわかったようだな
あれが最初の試練だ","You seemed to know without being told.
That was the first trial."
"この程度、軽くいなせて当然であろう","Of course, you'd effortlessly parry
something at this basic level."
"第二の試練だ
そろそろ本気を出してもらう","This is the second trial.
Time to get serious."
"やるようだな、次が最後の試練だ","You’re doing well. 
The next one is the final trial."
"これが最後の試練となる
見せてみるがいい
その槍さばきを","This is the final trial. 
Show me your spearwork."
"たゆまぬ鍛練が霊槍に宿っているのを確かに感じた
――我が庵へ戻り、戦技の継承を行おう","I sensed the tireless discipline
embodied in your Spirit Lance.
Let's return to my hut and
conduct the technique transfer."
"ふん――霊槍は貴様の体の一部となっているようだな","Hmph... 
The Spirit Lance has become
an extension of your very body."
"森羅に満ちる霊力を感じろ――そして感謝の念を忘れるな","Channel the spiritual energy
flowing through existence -
hold thankfulness close."
"集めた霊力をいつ、何に使うかが肝要だ","The key lies in when and how you 
use the spiritual energy you gather."
"貴様の手にあるのはただの武器ではない、わかっているな","What you hold in your hand is 
no mere weapon, you understand."
"森羅の祝福によって仲間を癒すこともできるのだ","The world's spiritual blessings
let you mend comrades' wounds."
"突きにばかり固執するな
加護を得た時、霊槍は踊る","Don't obsess over thrusting alone.
When blessed, the Spirit Lance dances."
"森羅の加護を得るのだ――霊力を操れ","Receive of nature's divine blessing -
harness the spiritual energy."
"霊力によって己を鼓舞する、これはスピリットランサーの基本だな","To invigorate oneself with spiritual power—
this is the foundation of a Spirit Lancer."
"その霊力は仲間を癒し導くものでもあることを忘れるな","Do not forget that this spiritual power 
can also heal and guide your allies."
"攻めるに出るべきか、支援に回るべきか――見極めろ","Decide whether to strike or
aid your allies - Judge wisely."
