"Jp","En"
"よう、ダンジョンの宝箱調査は続けてるか？
また新しい場所の調査依頼があるんだが
この前より難易度が上がっている","Hey, still investigating dungeon treasure chests?
Got a new investigation request for you,
but it's tougher than the last one."
"腕に自信が無ければ無理に引き受けなくてもいい
自分の力量を把握しておくのは
長く冒険を続ける上で大切なことだ
偉大な冒険家ほど、ここを重視する――","Don't push yourself if you're not confident.
Knowing your limits is key to surviving
long-term as an adventurer.
The greatest adventurers all know this..."
"ま、やることは前回と同じなんだがな
ダンジョンに潜って、最奥の
宝箱を調査して帰ってくる
――単純だろう？","Well, same task as last time—
plunder the dungeon's depths,
rifle through that final chest,
and bolt back. Straightforward, no?"
"今回の調査候補地は
魔赤島の《せせらぎの地下聖堂》
　　　　《小塔傍の枯れ井戸》
ミスリウ深部にある《霧幻のテラス》","This investigation's candidate locations are
Bloodbane Isle's 
Crypt of Murmurs & Dried Well by the Tower
and Mysree's Misty Illusion Terrace."
"ボルドにある《灼熱の封鎖道》
バートランドにある《罪人の修獄》
この５カ所だ","Volden's Scorching Blocked Passage
and Betland's Penitentiary
round out the five locations."
"ここでは前回の３か所よりも、よりランクの高い
素材が採れるって噂だ
ただし、魔物もそれなりの強さだが、な","Word is you'll find better-quality
resources there than in those
previous three areas—just know
the creatures hit harder as well."
"５ヶ所のうち、１ヶ所の宝箱を調査できたら
俺のところに報告にきてくれ","When you've checked one of the 
five treasure chests, come report back to me."
"いいか、もう一度説明するぞ
これからいう５ヶ所の調査候補地の中から
１ヶ所を選んで最奥の宝箱を調べてくるんだ","Listen up, I'll explain again.
Pick one of these five locations,
investigate its deepest chest, and return."
"候補地は
魔赤島の《せせらぎの地下聖堂》
　　　　《小塔傍の枯れ井戸》
ミスリウ深部にある《霧幻のテラス》","The candidate locations are Bloodbane Isle's 
Crypt of Murmurs & Dried Well by the Tower
and Mysree's Misty Illusion Terrace."
"ボルドにある《灼熱の封鎖道》
バートランドにある《罪人の修獄》
この５カ所だ","Volden's Scorching Blocked Passage
and Betland's Penitentiary
round out the five locations."
"ここでは前回の３ヶ所よりも、よりランクの高い
素材が採れるって噂だぜ
ただし、魔物もそれなりの強さだが、な","Rumor has it these spots yield higher-rank
materials than the last three.
But the enemies are tougher too."
"５カ所のうち、１か所の宝箱を調査できたら
俺のところに報告にきてくれ","Once you've investigated one chest
out of the five, report back to me."
"よし、無事に調査をしてきたか
お前の白竜様への忠誠心が見てとれるようだな","Good, you made it back safely.
Your loyalty to the White Dragon is clear."
"今回もダンジョンの場所を教えてやったが
次からは《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るから覚えておくんだ","This time, I told you the dungeon
locations—but from now on, check
Spot Info to see which dungeons
have which materials. Remember that."
"今まで集めた素材で作った装備品でなら
例の強敵とも互角に戦えるだろう","With the equipment made from materials
you've gathered so far, you should be
able to fight that formidable foe
on equal footing."
"エクストリームミッションに参戦するなら
くれぐれも装備品の準備を怠るなよ
でなければ、戦うどころか
まともに立っていることすらできないと思え","If you're joining an Extreme Mission,
don't skimp on gear prep.
Otherwise, you won't even last
long enough to fight properly."
