Jp,En,speaker,english,speaker,english,speaker
"しっかりと準備はしてきたか？
腕に自信がないなら
安請け合いしない方が身のためだぞ
何事も適したタイミングってものがあるからな","You’ve prepared thoroughly, right?
If you doubt your skills, it’s wiser
not to take this lightly. Some things
require the right timing.",Isaac,,Isaac,,Isaac
"今回調査してもらうダンジョンは、魔赤島にある
《不浄の掃き溜め》
《氷気の遺路》
《群像の岩屋》
この３か所だ","The dungeons to investigate this time are these three
locations on Bloodbane Isle:
《Cesspool of Filth,》
《Frigid Ancient Passage,》
and the《Picturesque Grotto.》",Isaac,,Isaac,,Isaac
"アーク裏層と同様、エリアマスターに
認められなければ入れない場所もあるからな
まずは魔赤島のランクアップを目指すことだ","Just like The Ark's Lower Level, there are places 
you can't enter without the 
Area Master's approval. 
First, aim to raise your Rank on Bloodbane Isle.",Isaac,,Isaac,,Isaac
"ちなみに、３ヶ所全てを調査する必要はない――
どこか１ヶ所で、最奥の宝箱を調査したら
報告に戻ってくるんだ","You don't need to investigate all
three locations—just check any one
of the deepest treasure chests and
return to report.",Isaac,,Isaac,,Isaac
"いいか、もう一度説明するぞ
これからいう探査地を調査しつつ
最奥の宝箱を調査する――","Listen, I'll explain once more. 
Investigate the exploration sites I mentioned 
and check the deepest treasure chest—
that's all.",Isaac,,Isaac,,Isaac
"これだけだ
どうだ、簡単だろう？
もっとも、相応の力があればの話だがな","That's all there is to it.
See? Simple, right?
Of course, that's assuming you have
the necessary strength.",Isaac,,Isaac,,Isaac
"今回調査してもらうダンジョンは、魔赤島にある
《不浄の掃き溜め》
《氷気の遺路》
《群像の岩屋》
この３か所だ","The dungeons to investigate this time are these three
locations on Bloodbane Isle:
《Cesspool of Filth,》
《Frigid Ancient Passage,》
and the《Picturesque Grotto.》",Isaac,,Isaac,,Isaac
"アーク裏層と同様、エリアマスターに
認められなければ入れない場所もあるからな
まずは魔赤島のランクアップを目指すんだ","Just like The Ark's Lower Level, there are places
you can't enter without the Area Master's approval.
First, aim to raise your Rank on Bloodbane Isle.",Isaac,,Isaac,,Isaac
"３ヶ所全てを調査する必要はない――
どこか１ヶ所で、最奥の宝箱を調査したら
俺に報告しろ","You don't need to investigate all three locations—
just check one of the deepest treasure chests
and report back to me.",Isaac,,Isaac,,Isaac
"ふふふ、無事に帰ってきたか――
中々やるじゃないか","Heh, you made it back in one piece—
not bad at all.",Isaac,,Isaac,,Isaac
"今回はダンジョンの場所を教えてやったが
次からは《スポット情報》を見れば
どのダンジョンにどの素材があるか
確認をすることが出来るぞ","This time, I told you the dungeon
locations—but from now on, check
Spot Info to see which dungeons
have which materials.",Isaac,,Isaac,,Isaac
"この先も覚者として生きていくなら
覚えておいて損はないだろう
もっとも、覚者の記憶が“いつまで”残るのかは
俺も知らないが――","Should you walk the Arisen's path longer,
keeping this in mind may serve you well.
Though how long ""the Arisen's memories""
endure... that mystery remains—",Isaac,,Isaac,,Isaac
"もう一つ教えておいてやろう
宝箱を調査して集めた素材で作った装備品は
今後必ず役に立つ時が来る","Let me tell you one more thing—
equipment crafted from materials
found in treasure chests will prove
useful sooner or later.",Isaac,,Isaac,,Isaac
"何度も調査を繰り返して素材を集め
武器を強化しておくことだな
過去の積み重ねが未来を創る、というわけだ","Repeatedly survey areas for resources
to upgrade your arms—
today’s efforts build tomorrow’s power.",Isaac,,Isaac,,Isaac
"例の島で発見された魔物の調査が進んだら
お前にもその討伐依頼がくるだろう
それまでにしっかり準備を進めておくことだ
今回はご苦労さん、といったところか","When they finish studying those
island creatures, they'll send you
after them. Get ready beforehand.
You've done enough today.",Isaac,,Isaac,,Isaac
