old,english,speaker
おまえたちだったか,,Leo
"礼を言おう
掃除の手間が省けた",,Leo
気の抜けたこと言ってねえで、てめえ、どうだ,,Leo
神殿に戻って一緒にやる気はねえのか？,,Leo
"こぶしから生まれたと言われた男も
いつの間にやら丸くなったものだ",,Leo
旅立って以来、神殿を顧みたことはない,,Leo
"白竜あっての覚者だってことは？
それも忘れた？",,Leo
覚者とは力の器――俺はそう考えている,,Leo
"より強大な力で器を満たしたいと考えることは
俺たちを覚者にした白竜に報いることになる",,Gurdolin
そうは思わないか？,,Leo
"わーった
屁理屈こねて逃げ回ってろ、臆病者",,Leo
"レオ――丁度良かったじゃないか
わたしの話を――その人たちに――",,Leo
ああ、そうだな,,Leo
"このところロイグの体調が優れないんだ
だが、見てのとおり、ここでは治療もままならない",,Lise
"どうだろう――
神殿へ連れ帰って、面倒を見てくれないだろうか",,Gurdolin
密偵でも送りこもうという魂胆か,,Elliot
それはない――誓うよ――,,Leo
"レスタニアには医者という、病を治す専門家が
いると聞いた",,Gurdolin
その人に――会わせてくれ――,,Lise
熱い――隊長、これ、かなり来てますよ,,Elliot
隊長、戻ろう？,,Gurdolin
"なんだかんだで目的は果たせるじゃない？
「元」統率との再会は残念だったけどね",,Gurdolin
