old,english,speaker
アガッ――アアッ――（倒れこむ際のリアクション）,,Leo
どうして、おまえに負ける！?,,Leo
"わたしはあの方と共に戦った――
選ばれし者の果て！　",,Leo
それを継ぎし者ぞ！,,Leo
理には勝てないということか――戦徒ミシアルよ,,Leo
黒竜よ,,Leo
あなたは白竜、次いで精霊竜、火竜、水竜と――,,Leo
この世界の竜を傷つけ、倒し、理の破壊を望みました,,Leo
あなたが壊した竜が甦ることはありません,,Gurdolin
"けれど、その中でも覚者は生まれ
世界をあなたの脅威から救ったのです",,Leo
"人も、竜も、覚者も
この世界を脅かすものに屈することはありません",,Leo
"あなたが蒔いた崩壊を食い止め
時には受け止め――",,Leo
"竜と世界を守り続けた数多の覚者の力に――
あなたは討たれたのです！",,Leo
クアアアアアッ！！,,Lise
"わたしは理を守るために
この世界に遣わされました",,Gurdolin
世界をすべる界王のポーン,,Elliot
すべての覚者に仕える者,,Leo
"さあ、お戻りなさい
あなたが生きるべき世界へ",,Gurdolin
そして、自分たちの力で、理を紡ぎ続けてください,,Lise
ありがとう――あなたが覚者でよかった,,Elliot
