old,,english,speaker
"覚者さま、もしかして
ぼくのこと、助けに――？","Dear Arisen, could it be that you will help me?",,Pure Pawn
あ、覚者さまだ！,"Ah, Lord Arisen!",,Pure Pawn
"覚者さま！
ぼくにもお供させてください！","Lord Arisen!
Please allow me to accompany you as well!",,Pure Pawn
"ぼくはこう見えて強いんです！
いつかはお声を掛けてくださいね！","I may not look like it, but I am strong! Please feel free to reach out to me someday.",,Pure Pawn
"従者が必要？
だったらぼくとかどうですか！？","Need a follower?
How about me?",,Pure Pawn
暇だなあ――ぼくもお仕事したい！,I'm bored - I want to work too!,,Pure Pawn
"クラフトかあ――いろいろ試してみたいな
試したい戦技もあるんです！",I want to try various crafts. There are also techniques I want to try!,,Pure Pawn
"ねぇねぇ覚者さま！
ぼくにも何かさせてください！","Hey, hey, Lord Arisen!
Please let me accompany you as well!",,Pure Pawn
クラフトって、面白いですね！,"Crafting is interesting, isn't it?",,Pure Pawn
いますごく調子が良くて、いいのができそう！,I'm in really good shape and it seems like I can do something great!,,Pure Pawn
"えーっと、ごめんなさい
まだもうちょっと！","Um, sorry, still a little more!",,Pure Pawn
うう――心細かった――,Ah... I was feeling so helpless...,,Pure Pawn
"ごめんなさい！
ぼく、失敗しちゃって――、今度こそ！","I'm sorry!
I messed up—this time, I'll get it right!",,Pure Pawn
"覚者さまと一緒に、また戦えるんですね！
次はもっとがんばらないと――！","With the Arisen by my side, I can fight again, can't I? 
I'll have to work even harder next time!",,Pure Pawn
