old,english,speaker
これはこれはみなさん――,,Black Knight
目的は、これですか？,,Cecily
"冗談じゃない――
復讐を台無しにされてたまるか！",,Loeg
"腐った“芯なる樹”とともに
皆、朽ち果ててしまえ！",,Loeg
あなたが――したの？,,Loeg
"ロイグ――
あなたが“芯なる樹”を――",,Cecily
"故郷が病魔に侵された時――
誰もが、これは理、運命だと、背を向けた",,Cecily
竜も助けてはくれなかった,,Loeg
"悲しいが、歯を食いしばるしかなかった
このフィンダムで育てば誰もがそうなる",,Loeg
"しかし、苦しむ両親を見ているうちに
背を向けた人々が憎くなった",,Cecily
何もしない竜に失望した,,Cecily
"ほどなく父は気が触れて――
世を呪う言葉を残して死んだ",,Gearóid
わたしはその言葉に囚われたのさ,,Gurdolin
乞い、願っていると、手段が手に入った,,Lise
"ああ――
“芯なる樹”に毒素を植え付けてやった",,Elliot
するとどうだ,,Gearóid
"“芯なる樹”を救おうと、おまえたちは右往左往
死は理ではないのか？　運命ではなかったのか？",,Gearóid
"わかるぞ？
自分たちの命だけは惜しいんだろう？",,Gearóid
"“理”など方便
身勝手な奴らめ",,Gearóid
ロイグ、レスタニアを思い出して？,,Cecily
フィンダムも、あんなふうになれるかもしれない,,Gurdolin
無理だね,,Lise
わたしが全力で阻止するからな！,,Elliot
ウォーウ、ウォウ、ウォウォウォーウ,,
"魔物と化してもなおわたしを慕う
かわいいケモノたちよ――",,
さあ行け！,,
