old,english,speaker
時間経過により戦況が悪化していく――,,0
"パーティーメンバーの死亡により
戦況が悪化していく――",,0
敵勢力が覚者の命を狙っている――！,,0
跳ね橋を起動するレバーの片方を起動した――,,0
２階奥で召喚士が魔物を呼び寄せている――,,0
"主目的を達成――！
次のミッションへ進行",,0
呪符を破壊し魔物の出現を抑えた――！,,0
"時間内の主目的達成に失敗――
次のミッションへ進行",,0
"中央広場の防衛成功――！
戦況が好転した",,0
"中央広場の防衛が失敗した――
戦況が悪化した",,0
骸の将が現れた！,,0
骸の将が逃げ出しそうだ――,,0
骸の将が姿を消した――,,0
地下宝物庫を塞ぐ扉が開いた――！,,0
９０秒後にリザルトへ移行します,,0
"召喚士を討伐した――！
砦内の全ての呪符が消滅した――",,0
砦内のエリアを征圧成功！,,0
砦内のエリアの征圧失敗――,,0
魔物が自軍陣地を征圧していく――,,0
召喚された魔物を一掃したことで、骸の将の力が弱まっていく――,,0
殲滅できなかった魔物の残魂が、骸の将の力として吸収される！,,0
骸の将が魔物を呼び寄せた――！,,0
砦内のエリアを片方征圧した――,,0
召喚士への道が開けた――！,,0
砦内に魔物の気配が漂っている――,,0
