old,english,speaker
"長い間風雨に晒された布がある――
極上の生乾きだ！",,0
"ボロボロになった旗だ――
風にそよいでいて良く乾いている",,0
"瓦礫に布が被さっている――
焚火の近くで良く乾いているようだ",,0
"圧倒的なインパクトを放っている――
これは《オオワラカミツキ》に違いない！",,0
"懸命に本家に寄せようとしている――
ような気がする
これは《ワラカミツキモドキ》だろう",,0
"どこか後ろめたさを感じる――
おそらくこれは
《ニセワラカミツキ》だろう",,0
"こちらを欺こうとしている―ー
ような気がする
これは《ワラカミツキダマシ》だろう",,0
"それらしい生き物はいないようだ――
他のわらを探してみよう",,0
"今にも爆発しそうだ！
《熟成爆弾カボチャ》に間違いないだろう",,0
"何の変哲もないカボチャだ――
ソネルが投げたものだろうか",,0
"普通のカボチャが転がっている――
探しているものとは違うが
近くに別のカボチャもあるかもしれない",,0
"驚いたことに、カボチャそっくりの石のようだ――
細工じゃなくて直接投げつけた方が強い",,0
こんなことしている場合じゃない！,,0
"大砲があるが、整備中のようだ
これは使えないだろう",,0
"大きな扉や門を破壊するための兵器だ
使用するにはかなりの人数が必要だ",,0
"オークたちが利用している
掲示板のようだ",,0
"エルマーにもらった張り紙だ
これで火薬庫にいる見張りを
櫓の上へ移動させることができる",,0
"火薬が入った樽が積まれている
これを利用すれば――",,0
"なんとカボチャが３つもある！
が、探しているものはこれではない
オークが拾ってここに乗せたのだろうか？",,0
"この中ではこれはハズレだろう――
と、分かっていてつい調べてしまった！",,0
"かなり期待して調べたのだが――
ただのデカいカボチャのようだ
どうやってここまで投げ込んだのだろうか？",,0
おしい！こっちではなかった！,,0
"熟成を通り越して完全に腐っている――
これはこれで嫌だが
探しているものとは違うようだ",,0
"奥の方から火薬の臭いがする
向こう側は火薬庫のようだ",,0
見張りが厳重に警備している,,0
ソネルに頼まれたものを発見した！,,0
