old,english,speaker
エリア１を征圧した！,,0
エリア２を征圧した！,,0
エリア３を征圧した！,,0
エリア４を征圧した！,,0
エリア５を征圧した！,,0
エリア６を征圧した！,,0
エリア７を征圧した！,,0
征圧エリアに敵が出現した！,,0
フラッグブレイカーが出現した――！,,0
フラッグブレイカーが別エリアへ移動した――,,0
フラッグブレイカーの討伐に成功！,,0
フラッグブレイカーはどこかへ消えた――,,0
"現れた戦甲敵をすべて討伐した！
戦況ゲージが更に回復しました",,0
戦甲敵はどこかへ消えた――,,0
エリア１の戦甲敵を討伐した！,,0
エリア２の戦甲敵を討伐した！,,0
エリア３の戦甲敵を討伐した！,,0
エリア４の戦甲敵を討伐した！,,0
エリア５の戦甲敵を討伐した！,,0
エリア６の戦甲敵を討伐した！,,0
"呪われた環境で素早いエリア征圧に成功！
戦況ゲージが回復し、解呪の泉が出現しました",,0
エリア１が敵に攻め落とされた――,,0
エリア２が敵に攻め落とされた――,,0
エリア３が敵に攻め落とされた――,,0
エリア４が敵に攻め落とされた――,,0
エリア５が敵に攻め落とされた――,,0
エリア６が敵に攻め落とされた――,,0
エリア７が敵に攻め落とされた――,,0
"呪敵が征圧目標エリアに出現――
状態異常攻撃に警戒せよ",,0
呪敵はどこかへ消えた――,,0
"征圧エリアに敵が出現――
自陣を守れ！",,0
自陣を狙う敵はどこかへ消えた――,,0
自陣を狙う敵はどこかへ消えた――,,0
エリア１の防衛に成功！,,0
エリア２の防衛に成功！,,0
エリア３の防衛に成功！,,0
エリア４の防衛に成功！,,0
エリア５の防衛に成功！,,0
エリア６の防衛に成功！,,0
"征圧エリアに更に敵が出現――
自軍旗にダメージが入りました",,0
旗の修復,,0
"闇の将が現れた！
至急メンバーを集めて突撃せよ！",,0
闇の将が逃げ出しそうだ――,,0
闇の将が姿を消した――,,0
６０秒後にリザルトへ移行します,,0
