old,new,english,speaker
ご機嫌麗しゅう。誉れ高き覚者殿,Good day to you. The Honorable Master of the Learned.,,0
この冒険の鍵を握るのは、貴方かも知れません,You may be the key to this adventure!,,0
ご一緒できるとは無上の喜び――,It is a great pleasure to be with you.,,0
あぁ、素晴らしい冒険の予感がいたします,"Oh, I have a feeling we are in for a great adventure!",,0
ご活躍に花を添えてご覧にいれましょう,Let us see you with flowers for your success!,,0
この出会いに乾杯！,Cheers to this encounter!,,0
おや？　どなたかおいでのようですね,Oh?　Looks like someone's here.,,0
ふ、当然の結果でしょう,"Well, I guess that's to be expected.",,0
この達成感、素晴らしい！,This accomplishment is wonderful!,,0
語り継ぐにふさわしいご活躍です,Your work is worthy of being passed down to the next generation.,,0
残念。またの機会に――,Too bad. Another time--,,0
ふ。また強くなってしまったのか,Huh. You're getting strong again.,,0
私に限界を教えてほしい！,I need you to tell me what my limits are!,,0
あぁ！　磨いた力を披露したい！,Ahh!　I want to show off my honed skills!,,0
ふふ。どんな英雄譚も小さな一歩から,Heh. Every heroic tale starts with a small step.,,0
もちろん、どこまでもお伴しますよ,"Of course, I will accompany you wherever you go.",,0
敵のお出ましですか,Is the enemy here?,,0
おっと、何かいますね,"Oops, there's something here.",,0
あれは敵の影――ふふ！,That's the shadow of the enemy - heh!,,0
嫌いではない。強敵と相対する高揚感――！,I don't dislike it. The elation of facing a strong enemy - that's what it's all about!,,0
逃げるか、立ち向かうか。実に悩ましい――,To run or to stand? It's a real toss-up.,,0
あなたに感謝を！,Thank you!,,0
なっ！？　しまった！,"Huh?! Oh, shit!",,0
助けを――求めるなど――,Asking for... help...,,0
ここまでか――不本意だ――！,So much for - unwillingness to -!,,0
私と――したことが――！,What I-- what I did--,,0
血を見たくはないのですが,I don't want to see blood.,,0
軽くあしらってやりましょう,Let's make light of it.,,0
なかなか絵になる戦いでした,It was quite a picturesque battle.,,0
ふふ！　お役に立てたなら何より,Heh!　I'm glad I could help.,,0
勝利の美酒を、竜と貴方に,"A beautiful celebration of victory, to you and the dragon.",,0
さぁ、こちらへ。今ですよ！　,"Come on, this way. Now!",,0
少々傷を負ってしまいましたね,I'm afraid I'm a little wounded.,,0
厳しいわけではありません。まだ――,It's not that it's tough. It's still--,,0
くっ――私の体に傷が――！,Damn - the wounds on my body...!,,0
人目を気にしている場合ではないか――,You don't have time to worry about being seen--,,0
この状況、どうにかしなければ！,We have to do something about this situation!,,0
そんな！　ど、どうして――！！,"Oh, no!　How did you--!",,0
さぁ！　受けてみるがいい,Come on!　Take it.,,0
これで元通りですよ！,Now it's back to normal!,,0
ふ！　ここは私の出番ですね！,Ah! It's my turn here!,,0
戦いやすくいたしましょう！,Let's make it easier to fight!,,0
届きませんね！,I can't reach it!,,0
ふふっ！,Phew!,,0
これはどうです！,How about this!,,0
踊りなさい！,Dance!,,0
高く飛ばして差し上げましょう！,Let's let them fly high!,,0
従いますよ,I will comply,,0
ええ、解っていますとも,"Yes, I understand.",,0
おっと、それはできませんね,"Oops, I can't do that.",,0
次なる冒険譚のご準備ですか？,Preparing for your next adventure?,,0
おや、覚者殿、出発でしょうか？,"Oh, Arisen, are we departing?",,0
覚者殿、ご用があれば何なりと,"Arisen, please let me know if you need anything.",,0
覚者殿にも、そして私にも、休息は必要です,"The Master needs his rest, and so do I!",,0
疲れも溜まっているでしょう、ゆっくりとお休みなさいませ,"I'm sure you must be tired, so please take a good rest.",,0
良き夢を、覚者殿,"Sweet dreams, Master.",,0
こうして住環境にこだわってみるのも良いですね,It's also good to be particular about the living environment like this.,,0
ううーん、模様替え、素晴らしいセンスですね,"Hmm, rearranging the room, great taste.",,0
覚者殿、エリア探索より舞い戻りました,"Arisen, I have returned from exploring the area",,0
今回のエリア探索――我が才能が恐ろしい！,This time exploring the area - my talent is frightening!,,0
ほう――実に興味深い――,Well--very interesting indeed--and I'm sure you'll be able to find out more about it.,,0
覚者殿、お庭に小さなお客様がいらしてます,"Arisen, there are small guests in the garden.",,0
料理まで完璧とは――我が才能が恐ろしい！,"Impressive―my talent is terrifying, even in cooking!",,0
これはもしや、わざわざ私のために――？,"If this is the case, did you go out of your way to make this happen for me--?",,0
"ご期待に添う――
いえ、それ以上の成果をお約束しましょう","We will meet your expectations--
No, we promise to exceed them!",,0
このスキルで、より鮮やかな戦いを,"With this skill, you can fight more vividly.",,0
なるほど、このスキルで大活躍すれば良いのですね,"I see, I should be very active with this skill.",,0
休息も戦う者の務め、いまは英気を養いましょう,Rest is also a duty of a fighter.,,0
私の出番でしょうか？ 本日はどちらの舞台に？,Is it my turn? Which stage today?,,0
はい、どうしました？,"Yes, how can I help you?",,0
えっ、私の美しさについてですか？,"What, are you asking about my beauty?",,0
私の才能の全ては、いつも貴方様のために――,All of my talents have always been for you.,,0
この前クラフトのアシスタントで我が才を披露してきました,I recently demonstrated my talent as an assistant in Crafting,,0
この間、別の覚者様との冒険で我ながら中々の働きをしましたよ,I did a good job the other day on an adventure with another Arisen person.,,0
先日、別の覚者様がこの装備を褒めていらっしゃいました、ふふふ,"The other day, another Arisen praised this equipment, hehehe",,0
覚者殿、今日は私から戦技のご提案を致しましょう,"Arisen, today I will make a combat technique proposal",,0
"覚者殿、貴方様にお仕えしてきたおかげで
私の意思疎通力が上がりました！","Dear Arisen, my communication skills have improved
thanks to my service to you!",,0
覚者殿、今日は私から髪型のご提案があります！,"Dear Arisen, I have a hair style suggestion for you today!",,0
"新しい家財を入手されたのですね！
これぞ覚者殿の誉にふさわしい！","You have acquired a new family property!
This is worthy of the honor of the Master of the Arisen!",,0
貴方様のお戻りで、やっと人心地着くというもの,Your return will finally make me feel at home.,,0
無事のご帰還、何よりです,Glad to see you back safe and sound!,,0
お戻りになるのを、今か今かとお待ちしていたのです！,I've been eagerly waiting for your return!,,0
