old,english,speaker
"その貴き力を
わたしにくださいますか？",,Black Knight
"集いし者たちよ――
レスタニアを愛する者たちよ――",,Cecily
"長き眠りの時代は終わり――
まどろみの時代が始まるらしい――",,Loeg
"力はまだ戻らぬ――
しかし――眠りは――終わった",,Loeg
"白竜様！
騎士団一同、お待ちしておりました！",,Loeg
"覚者たちよ――
待たせたな――",,Cecily
いよいよか,,Cecily
これからだ,,Loeg
さあ、どうなる…,,Loeg
落ち着け,,Cecily
来るぞ,,Cecily
静まれ,,Gearóid
む―っ,,Gurdolin
ああ―,,Lise
おお…！,,Elliot
ついに…！,,Gearóid
ようやく、か…,,Gearóid
よし…！,,Gearóid
お声が…,,Gearóid
おお、白竜様！,,Cecily
お目覚めだ！,,Gurdolin
我らの希望だ,,Lise
（息遣い）,,Elliot
ああ、なんて神々しいの？――良かったね、イリス,,
うわ～！　こんな瞬間に立ち会えるなんて――,,
白竜様――どうか甥っ子にもご加護を――,,
どうか――どうかレスタニアに安定を――,,
白竜よ――お慕い申し上げます――,,
