old,english,speaker
ご苦労だったな,,The White Dragon
わたしは、おまえたち覚者と人間が絆を結び,,The White Dragon
"力を合わせて困難を乗り越えたことについて
考えていた",,The White Dragon
"万策尽きたと思われた中、わたしを消滅の淵から
救い出したのは他ならぬおまえたちだ",,The White Dragon
"悪しき竜の、強者の思い上がりに
一矢を報いたのもおまえたち――",,The White Dragon
"おまえたち人間の絆が世界を救ってきたのだ
ああ、わたしではない",,The White Dragon
"はて、人々が集い、危機に立ち向かおうとする時
その中心にいたのは誰だ？",,The White Dragon
"人々の先頭に立ち、背中で人々を鼓舞したのは
誰だっただろう――",,The White Dragon
――おまえだ,,The White Dragon
わたしは竜力でその後押しをしているにすぎない,,The White Dragon
"ならば、その竜力もおまえに譲れば
このレスタニアは盤石ではないのか――",,The White Dragon
"こう考えることは、間違っているだろうか――
理は許すだろうか",,The White Dragon
――わたしにはわからぬ,,The White Dragon
"わからぬことは、知りたいと思うのが
おまえたちだろう？",,The White Dragon
倣い、試してみようではないか,,The White Dragon
おまえを我が後継者に指名する,,The White Dragon
なんと――,,Joseph
"たまげたぜ――
次代の白竜はおまえだとよ！",,Gurdolin
隊長、すごい！　隊長なら、みんな納得だよ,,Lise
俺――隊長、俺、感激しています,,Elliot
"時が満ちるまで、人としての時を――
心ゆくまで過ごすがよい",,The White Dragon
