old,english,speaker
ごくろうだったな,,Joseph
被害にあった村からは感謝の言葉が――,,Joseph
"それで？
一番手柄はエリオットだって聞いたけど",,Klaus
――まあ、今回はね,,Lise
.ふん、手柄なんざ欲しい奴にくれてやる,,Gurdolin
素直に認めてくださいよ,,Elliot
日々の努力が実を結んだということです,,Elliot
"これで俺が隊長の右腕ですね！
ですよね！",,Elliot
神殿のみんなにも教えてあげなくちゃ,,Elliot
ィヤッホーイッ！,,Elliot
エリオットの野郎、浮かれ過ぎじゃねえか,,Gurdolin
ちょっと今回いいカンジだからって――,,Lise
"まあまあ――
許してやってくれ",,Joseph
"あの子は幼い頃に家族を失い、わしが引き取って
育てたのだが、わしはこの通り多忙だ",,Joseph
"教育だけは完璧に叩き込んだものの
 寂しい思いをさせることも多かったようだ",,Joseph
"だから、誰かに認められることが
うれしくてたまらないのだろう",,Joseph
"そんな重そうなもん
抱えているようには見えなかったが――",,Gurdolin
"普段は気取られないよう自分を作っているところが
あるのだろう",,Joseph
"へぇ～、何よ
ちょっとはかわいいとこあるんじゃない",,Lise
おいおい、上から目線かよ,,Gurdolin
