old,english,speaker
っぐ！（リアクションボイス）,,Black Knight
むうん！（掛け声）,,Black Knight
ボオオッ！（威嚇する）,,The White Dragon
ッがああああーー！！（掛け声）,,Black Knight
がふッ！（リアクションボイス）,,The White Dragon
むううううんっ！,,Black Knight
ぐぉぉぉぉ！（リアクションボイス）,,The White Dragon
なに！？,,Lise
竜力が――吸い取られている！？,,Elliot
はーーーっ！（リアクションボイス）,,Black Knight
ぐォォォォオ！（苦痛の呻き）,,The White Dragon
"見てる場合じゃねえ！
止めるぞ！",,Gurdolin
ふんっ！（リアクションボイス）,,Black Knight
うおっ――（リアクションボイス）,,Gurdolin
きゃっ――（リアクションボイス）,,Lise
わっ――（リアクションボイス）,,Elliot
くそっ！　このままじゃ――,,Gurdolin
ぐぐっ（リアクションボイス）,,Black Knight
顔をあげて！,,Mysial
あなたが屈してはなりません,,Mysial
さあ、力を奮うのです,,Mysial
んっ――（リアクションボイス）,,Gurdolin
んっ――（リアクションボイス）,,Lise
んっ――（リアクションボイス）,,Elliot
ぬう――（リアクションボイス）,,Black Knight
ゴフッ、,,Black Knight
安心するがいい――,,Black Knight
悲しむ者など微塵も残さぬ――,,Black Knight
ヌ――うう――（苦痛の呻き）,,The White Dragon
