old,english,speaker
,,
うわっ！！（リアクションボイス）,,Elliot
なんだ！！,,Gurdolin
これは一体――,,Joseph
見て、魔物の目！,,Lise
――いや、竜の目だ,,The White Dragon
気を放ち、この地を探り当てたか,,The White Dragon
精霊竜を討った覚者はおまえか,,The Evil Dragon
おまえか――,,The Evil Dragon
不遜な竜よ、名乗れ！,,The White Dragon
アハァ！？　死にゆく竜に、告げる名などない,,The Evil Dragon
ヴァ――（炎を受けるリアクション）,,The White Dragon
火を！　火を消せ！,,Joseph
いきなり出てきて何しやがる！,,Gurdolin
おまえかぁ――,,The Evil Dragon
来てはならぬ！,,The White Dragon
ゲヒャアハハハハハ（不敵な笑い）,,The Evil Dragon
世の末に招待してやろう――,,The Evil Dragon
エリオット、リズ！　続け！,,Gurdolin
うおっ！！（リアクションボイス）,,Gurdolin
きゃっ！！（リアクションボイス）,,Lise
隊長――！！,,Elliot
