old,english,speaker
無事の帰還、なによりだ,,Joseph
騎士団の戦果は上々！,,Gerd
"加えて、グリッテン砦の大掃除完了との
報告がたった今入った",,Gerd
隊長、ほら――,,Elliot
"隊長！　南は完全制圧！
わたしとセシリーの手柄だからね！",,Lise
ひぃひぃ言ってたぜ、こいつ,,Gurdolin
メルゴダに黒騎士が現れたと聞きました,,Cecily
ご無事で――なによりです,,Cecily
"さて――皆の尽力で
最悪の状況からは脱したというところだな",,Joseph
だが、侵食魔がゼロになったわけじゃねえ,,Gurdolin
黒騎士も相変わらずです,,Elliot
みんな、もう少し前向きになろう？,,Lise
セシリーの記憶が戻ればなあ,,Elliot
焦ることはない,,Joseph
"おまえの記憶がどうあろうと
敵がいる限り我々は戦い続ける",,Joseph
"それは白竜の御前に集う者の責務であり――
戦いの果てにある世界は夢であり、希望だ",,Joseph
嵐とともに始まったレスタニアの危機,,5002
"人々は、怖れ、おののいたが
騎士団の活躍に明日を見いだし――",,5002
覚者の奮闘に、白竜の加護を感じた,,5002
黒騎士とその配下のズール――,,5002
"渡来してきた魔物たちの暗躍に
不安な日々は続くだろう",,5002
"しかし、レスタニアの人々は今――
自分たちは無力ではないことを感じ始めていた",,5002
