old,english,speaker
孤島に現れし黒き鎧の騎士――,,The White Dragon
"あやつは――
レスタニアの災いとなる闇を背負いし者",,The White Dragon
"覚者よ――
我が目となり、兜に隠された素顔を探れ",,The White Dragon
"わたしは――少しばかり、力を使いすぎた
しばし――休む",,The White Dragon
これもひとつの縁,,Joseph
"白竜直々の、特別な使命に相応しい者は
おまえしかいないだろう",,Joseph
"もちろん、ひとりでとは言わん
配下には――",,Joseph
おい、エリオット！　エリオットはいるか！？,,Joseph
はい、ジョゼフ様！　ただいま！,,Elliot
覚者エリオット,,Joseph
"わたしの下働きをさせていたが
外を知る良い機会だ",,Joseph
後ろにいるリズは――おそらく顔見知りのはず,,Joseph
覚者人生をやり直したいとのことだ,,Joseph
"こんにちは
いよいよ、わたしたちの時代が来たって感じ？",,Lise
"これを機会に新しい覚者人生を行こうって
思ってるんで、よろしく",,Lise
"生まれ変わった気でやるから
期待してね～！",,Lise
"生まれ変わるって――
覚者はそう簡単に死にませんよね",,Elliot
俺はエリオットです,,Elliot
"ジョゼフ様のお側にいましたから
精神修行だけはたっぷり積んでいます",,Elliot
ふん――,,Joseph
"この二人に加えてガルドリンをつけよう
今しがたまでここにいたのだが――",,Joseph
ガルドリンかぁ,,Lise
性格に疑問ありですね,,Elliot
"何事も経験だ
何しろ、我々が求めているのは――",,Joseph
"レオの後任として覚者をまとめる
重責の担い手だからな",,Joseph
"レオ統率は、やっぱり戻らないんですか？
やれやれ",,Elliot
"このような事態でも姿を見せないとなれば
我々とともに歩む気は、もう、ないのだろう",,Joseph
となれば、おまえが頼りだ,,Joseph
一隊の長として、すぐさま任務にあたってくれ,,Joseph
レスタニア歴、３２３年,,5002
後に「侵食の大災」と呼ばれる戦いは幕を開けた,,5002
これは、時代と竜に翻弄される覚者たちの物語である,,5002
