"old","new"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《シールドブロウ》にて敵を攻撃せよ」","Teachings carved by someone emerge―

""Attack the enemy with Shield Blow."""
"「<ICON STG_ATTACK_0>を押す」","""Press <ICON STG_ATTACK_0>."""
"「敵に近づいてダメージを与える
　どこでも使える攻撃である」","""Approach the enemy and deal damage.
This is an attack that can be used anywhere."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《フォースガード》でフォースゲージを貯めろ」","Teachings carved by someone emerge―

""Use Force Guard to build the Force Gauge."""
"「盾を構えた状態で
　敵の攻撃を全方位から防ぐ事で
　フォースゲージを蓄積できる」","""By blocking enemy attacks from all directions
while holding up your shield, you can accumulate
Force Gauge."""
"「蓄積したフォースゲージを
　仲間や敵に対して解放して使うのが
　戦闘における基本スタイルとなる」","""The basic combat style involves using
accumulated Force Gauge by releasing it
unto allies or enemies."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵を《フォースバースト》で攻撃せよ」","Teachings carved by someone emerge―

""Attack enemies with Force Burst."""
"「<ICON STG_SUB_WEP>を押しながら<ICON STG_TOUCH>を押す」","""Hold <ICON STG_SUB_WEP>, then press <ICON STG_TOUCH>."""
"「蓄積したフォースゲージを解放して
　敵に攻撃を与えられる
　貯めたフォースゲージ量により威力が変わる」","""Release stored Force Gauge to attack
the enemy. The power varies depending
on the amount of Force Gauge stored."""
"《魔盾の証》を手に入れた！","You have obtained the 《Shield Sage's Mark》!"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《アトラクト》で敵の注目をひきつけろ」","Teachings carved by someone emerge―

""Draw the enemy's attention with Attract."""
"「<ICON STG_MAIN_WEP>を押し続ける」","""Hold <ICON STG_MAIN_WEP>."""
"「敵を自分にひきつける事で
　盾で敵の攻撃を防ぎながら
　仲間に攻撃チャンスを与えられる」","""By drawing enemies toward yourself,
you can block their attacks with your shield
and create opportunities for allies to attack."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《シールドロック》でフォースゲージを貯めよ」","Teachings carved by someone emerge―

""Use Shield Lock to build the Force Gauge."""
"「<ICON STG_SUB_WEP>を押した状態で
　敵の攻撃を受ける」","""While holding <ICON STG_SUB_WEP>,
take enemy attacks."""
"「敵の攻撃と同時に盾で防ぐ事で
　フォースゲージを蓄積できる
　ただし前方のみしか防ぐ事ができない」","""By blocking enemy attacks with your shield
at the right moment, you can accumulate
Force Gauge. 
However, it only blocks frontal attacks."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《フォースゲイン》を成功させよ」","Teachings carved by someone emerge―

""Successfully execute Force Gain."""
"「敵の攻撃を引きつけて<ICON STG_SUB_WEP>を押す」","""Bait enemy attacks and press <ICON STG_SUB_WEP>"""
"「敵の攻撃をシールドロックでタイミングよく
　防ぐ事でより多くのフォースを蓄積して
　その際にスタミナの減る量を抑えられる事ができる」","""By blocking enemy attacks with a well-timed 
Shield Lock, you can build up more Force
and reduce the amount of stamina you 
lose in the process."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《エレメントチェンジ》で属性選択せよ」","Teachings carved by someone emerge―

""Select an attribute with Element Change."""
"「<ICON STG_ATTACK_1>を押し、
　左スティックを倒して３属性を選択
　<ICON STG_ATTACK_1>を押して属性決定」","""Press <ICON STG_ATTACK_1>,
tilt the Left Stick to select an attribute,
then press <ICON STG_ATTACK_1> to confirm."""
"「敵によって戦略的に戦うための
　属性を切り替える事ができる」","""You can switch attributes strategically
to adapt to different enemies."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《フォースエンチャント》で味方に付与せよ」","Teachings carved by someone emerge―

""Grant Force Enchantment to an ally."""
"「<ICON STG_MAIN_WEP>を押しながら<ICON STG_TOUCH>を押す」","""Hold <ICON STG_MAIN_WEP>, then press <ICON STG_TOUCH>."""
"「蓄積したフォースゲージの解放で
　自分の攻撃属性を仲間に付与でき、
　パーティー全体の攻撃力が増す事ができる」","""By releasing the accumulated Force Gauge,
you can grant your own attack attribute
to allies, increasing the entire party's
attack power."""
