"old","new"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《弓》で敵を攻撃せよ」","Teachings carved by someone emerge―

""Attack the enemy with your bow."""
"「<ICON STG_SUB_WEP>を押しながら<STG_SHOT>
　または<STG_SHOT>を押す」","""Press <STG_SHOT> or 
<STG_SHOT> while holding down <ICON STG_SUB_WEP>"""
"「敵との距離をとりながら
　弓による攻撃でダメージを与えられる」","""Maintain distance from the enemy
and deal damage with bow attacks."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《爆矢射ち》で敵を攻撃せよ」","Teachings carved by someone emerge―

""Attack the enemy with Explosive Arrows."""
"「<ICON STG_MAIN_WEP>を押す」","""Press <ICON STG_MAIN_WEP>."""
"「時間差で爆発する特殊な矢は
　遮蔽物を越えて上空からも打ち込める
　刺さった矢は仲間の近接攻撃で起爆させられる」","""Time-delayed explosive arrows can
be fired over cover.
Stuck arrows detonate when hit
by allies' melee attacks."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《前蹴り》で敵を蹴り離せ」","Teachings carved by someone emerge―

""Kick the enemy away with a Front Kick."""
"「<ICON STG_ATTACK_0>を押す」","""Press <ICON STG_ATTACK_0>."""
"「威力は弱いが、接近した敵から素早く離れられる
　弓攻撃に有利な間合いを調整できる」","""Weak in power, but allows quick retreat
from close enemies. Adjust your distance
to gain an advantage for ranged attacks."""
"《狙弓の証》を手に入れた！","You have obtained the 《Hunter's Mark》!"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵に打ち込んだ爆矢を《起爆》せよ」","Teachings carved by someone emerge―

""Detonate the explosive arrows
embedded in the enemy."""
"「<ICON STG_MAIN_WEP>を押しながら<STG_SHOT>
　または<STG_SHOT>を押す」","""Press <STG_SHOT> or 
<STG_SHOT> while holding down <ICON STG_MAIN_WEP>."""
"「仕込まれた矢は衝撃を与えれば起爆する
　弓で狙えばより早いタイミングで爆破できる」","""Embedded arrows detonate upon impact.
Aiming with the bow allows for
easier and faster detonation."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「射撃の《最適距離》から弓射ちで攻撃せよ」","Teachings carved by someone emerge―

""Attack with Loose from the optimal range."""
"「<ICON STG_SUB_WEP>を押したままで
　画面中央に出現する十字カーソルと
　橙色の狙撃ポイントが合わさった状態で
　<STG_SHOT>または<STG_SHOT>を押す」","""Align the crosshair in the center
of the screen with the orange
target then press <STG_SHOT>, 
or hold <ICON STG_SUB_WEP> and press <STG_SHOT>."""
"「敵との距離で威力は変わる
　敵との最適な距離で最も威力が高くなる」","""Damage varies with distance.
The optimal range yields
the highest damage output."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「矢筒に《矢の装填》をせよ」","Teachings carved by someone emerge―

""Reload the quiver with Reload Arrows."""
"「<ICON STG_SUB_WEP>ｏｒ<ICON STG_MAIN_WEP>を押しながら
　<ICON STG_TOUCH>を押す」","""Hold <ICON STG_SUB_WEP> or <ICON STG_MAIN_WEP>,
then press <ICON STG_TOUCH>."""
"「矢が少なくなったら
　矢を装填して攻撃に備えよ」","""When arrows run low,
reload and prepare for the attack."""
"「矢の残数は弓構え時に中央に出る
　十字カーソルにて矢の増減がわかるので
　戦闘中は特に注意して矢を補充せよ」","""Arrow count is shown by the crosshair
when drawing the bow. Monitor it
during combat and reload when needed."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「矢筒にすばやく矢を送る
《達人装填》を　成功させよ」","Teachings carved by someone emerge―

""Swiftly load arrows into the quiver.
Succeed in performing Adept Reload."""
"「矢の装填中、特定のタイミングで<ICON STG_TOUCH>を押す」","""Press <ICON STG_TOUCH> with the right
timing during Reload Arrows."""
"「矢を補充時の装填ゲージ内で
　タイミングよく装填ボタンを押す事で
　矢が高速装填される」","""Pressing the reload button at the right
timing during the reload gauge's arrow
refill will perform a high-speed reload."""
"「また、より良いジャストタイミングで
　装填ボタンを押すと一度に放つ
　矢の本数が増え一時的に威力が増す」","""Perfect timing increases the number
of arrows fired at once, temporarily
boosting attack power."""
"「ただしタイミングを外すと
　矢の補充に時間がかかるので注意すべし」","""However, missing the timing slows down
the reload, so be careful."""
