"old","new"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《連斬》にて敵を攻撃せよ」","Teachings carved by someone emerge―

""Attack the enemy with Carve."""
"「<ICON STG_ATTACK_0>を連続して押す」","""Press <ICON STG_ATTACK_0> repeatedly"""
"「続けざまに斬りつければ反撃を受けにくい
　タイミングをずらせば、技の派生も可能である」","""Consecutive slashes make it 
harder for enemies to counter.
Shifting the timing allows for skill variations."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵の攻撃を盾で防げ」","Teachings carved by someone emerge―

""Block the enemy's attack with your shield."""
"<ICON STG_SUB_WEP>を押す","Press <ICON STG_SUB_WEP>."
"「ただしスタミナの消費には注意が必要だ
　よりよい盾ならば強い攻撃も防げるだろう」","""But be careful how much stamina you expend.
A better shield will defend 
against stronger attacks."""
"《頑盾の証》を手に入れた！","You have obtained the 《Fighter's Mark》!"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵の攻撃を《盾弾き》で弾き返せ」","Teachings carved by someone emerge―

""Repel the enemy's attack with Deflect."""
"「敵の攻撃を引きつけて<ICON STG_SUB_WEP>を押す」","""Bait enemy attacks and press <ICON STG_SUB_WEP>"""
"「敵の攻撃を盾弾きで怯ませて
　素早く反撃のチャンスを作り出せる
　無防備な空中時でも敵の攻撃回避に有効である」","""Deflecting enemy attacks with your shield can 
stagger them, creating a quick opportunity 
for a counterattack.
 It is also effective for dodging enemy attacks
 even when defenseless in the air."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵の盾ガード中に《斬り崩し》で攻撃せよ」","Teachings carved by someone emerge―

""Attack guarding enemies with Guard Break."""
"「<ICON STG_ATTACK_1>長押し後、離すと発動」","""Hold <ICON STG_ATTACK_1>, then release to activate"""
"「敵の盾ガードを崩す事ができる
　また斬り崩しのボタン長押しで
　より威力を増した攻撃を放つ事ができる」","""Can break the enemy's guard.
Holding the Guard Break button longer
releases a more powerful attack."""
