"old","new"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《マジックボール》を敵に３回当てよ」","Teachings carved by someone emerge―

""Hit the enemy 3 times with Magick Bolts."""
"「<ICON STG_ATTACK_0>を押して詠唱後、
　<ICON STG_ATTACK_0>を押して発動」","""Press <ICON STG_ATTACK_0> to chant,
 then press <ICON STG_ATTACK_0> to activate."""
"「詠唱時間が最大時になったとき発動する
　敵との間合いの取り方が重要だ
　詠唱中、放つ向きを変えて狙う事もできる」","""Activated when chant time reaches maximum.
 Managing distance with the enemy is key.
 While chanting, you can adjust the 
 aiming direction."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《マジックトラップ》を３回成功させよ」","Teachings carved by someone emerge―

""Successfully trigger Magick Trap 3 times."""
"「<ICON STG_ATTACK_1>を押して詠唱後、
　<ICON STG_ATTACK_1>を押して発動」","""Press <ICON STG_ATTACK_1> to chant,
then press <ICON STG_ATTACK_1> to activate."""
"「敵の侵入時にダメージを与える魔力の罠だ
　詠唱時間最大時に設置できる」","""A magical trap that deals damage when 
 enemies enter its range.
 Can be set when chant time completes."""
"「発動タイミングを調整すれば
　設置場所をずらして有効な位置で
　トラップを張る事ができる」","""By changing the moment of activation,
you can shift the placement location
and set the trap in an effective position."""
"《魔攻の証》を手に入れた！","You have obtained the 《Sorcerer's Mark》!"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「しがみついて《マジッククラッカー》を仕掛けよ」","Teachings carved by someone emerge—

""Cling on and execute Magick Cracker."""
"「しがみつき中に<ICON STG_ATTACK_0>を押す」","""Press <ICON STG_ATTACK_0> while clinging."""
"「大型の敵に魔法の罠を仕掛けられる
　仲間の狙撃でも起爆が可能だ」","""Plant magick traps on big foes.
 Party members can detonate them."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「詠唱ホールド移動を成功させよ」","Teachings carved by someone emerge―

""Successfully execute movement 
with a spell at the ready."""
"「<ICON STG_ATTACK_0>を押したまま、
　<ICON PAD_L3>で移動」","""Hold <ICON STG_ATTACK_0>,
 then move with <ICON PAD_L3>."""
"「詠唱完了の状態を維持したまま
　移動する事で自分で放ちたい方向を
　コントロールできる」","""By moving while maintaining the completed 
 chant state, you can control the direction 
 you wish to direct the spell."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「ロックオフを成功させよ」","Teachings carved by someone emerge―

""Successfully disable lock-on."""
"「敵をロックできる距離で<ICON STG_ATTACK_0>を押す
　その状態から<ICON PAD_L3>で解除」","""Press <ICON STG_ATTACK_0> at a distance 
 where you can lock onto an enemy.
 Release by pressing <ICON PAD_L3> from that state."""
"「ソーサラーは敵をロックオンしてから
　魔法を放つ事ができる
　複数の敵がいる場合はロックオン切替を
　しながら攻撃を放つ事が基本となる」","""Sorcerers can lock onto enemies
 then cast spells. When multiple enemies
 are present, switch lock-on targets
 while attacking as a basic tactic."""
"「また魔法の種類や戦況に応じて
　ロックオン自体を解除して
　好きな場所に魔法を放つ事ができる」","""Depending on spell type or battle conditions,
 you can also disable lock-on entirely
 and cast spells freely."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《スペリング》で１段階威力をあげよ」","Teachings carved by someone emerge―

""Raise power with chanting."""
"「<ICON PAD_R3>を押してスペリング入力モード
　に切り替えた状態で赤いポイント表示に
　<ICON PAD_R3>を動かして合わせる」","""Press <ICON PAD_R3> to switch to chanting input
mode and align it by moving <ICON PAD_R3> to the
red indicator."""
"「魔法詠唱中にスペリングモードに切替えて
　威力を上げることができる
　画面中央に出る詠唱文字にレバーを合わせて
　行くことで段階を徐々に上げれる」","""While casting a spell, switch to chanting mode
 to increase power. Move the stick to match
 the chanting characters displayed at the
 center to gradually raise it."""
"「カスタムスキルの魔法威力同様にも
　活かされるので戦況に応じて利用すべし」　","""Also enhances magickal power of custom skills,
 so use it according to battle conditions."""
