"old","new"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《連斬》にて敵を攻撃せよ」","Teachings carved by someone emerge―

""Attack the enemy with Carve."""
"「<ICON STG_ATTACK_0>を連続して押す」","""Press <ICON STG_ATTACK_0> repeatedly"""
"「高速の連撃は敵に反撃の隙を与えない」","""High-speed combos leave no 
opening for enemy counterattacks."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵に《投縄》を接触させよ」","Teachings carved by someone emerge―

""Hit the enemy with the Throw Rope."""
"「<ICON STG_SUB_WEP>を押しながら<STG_SHOT>を押す」","""Hold <ICON STG_SUB_WEP>, then press <STG_SHOT>."""
"「遠距離からロープを放ち、対象に引っ掛けて
　素早く距離を詰める技だ
　突進時に攻撃を加えることもできる」","""A technique to shoot a rope from a distance, 
hook the target, and quickly close the gap. 
You can also attack during the charge."""
"《旋風の証》を手に入れた！","You have obtained the 《Seekers's Mark》!"
"何者かが刻んだ教えの言葉が浮かび上がっている――

「《百烈斬り》で敵を攻撃せよ」","Teachings carved by someone emerge―

""Attack the enemy with Scarlet Kisses."""
"「<ICON STG_ATTACK_1>を連続して押す」","""Press <ICON STG_ATTACK_1> repeatedly."""
"「さらなる高速連撃にて敵を圧倒できる
　ボタン入力で攻撃回数を増やして削り倒せる」","""Overwhelm the enemy with even faster combos.
Increase attack count via button input 
to wear them down."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵の攻撃を《転身》で回避せよ」","Teachings carved by someone emerge―

""Evade the enemy's attack with Forward Roll."""
"「<ICON STG_MAIN_WEP>を押しながら<ICON STG_JUMP>を押す」","""Hold <ICON STG_MAIN_WEP>, then press <ICON STG_JUMP>."""
"「敵の攻撃を受けずに素早く回避できる
　接近時は素早く攻撃に移すことも可能」　","""Quickly evade without taking damage.
When close, you can swiftly transition to offense."""
"何者かが刻んだ教えの言葉が浮かび上がっている――

「敵にしがみついて《百烈斬り》を成功させよ」","Teachings carved by someone emerge―

""Cling onto the enemy and land Scarlet Kisses."""
"「しがみつき中に<ICON STG_ATTACK_0>を連続して押す」","""While clinging, press <ICON STG_ATTACK_0> repeatedly."""
"「敵にしがみついた状態で
　連続でダメージを与える事ができる」","""You can deal continuous damage
while clinging to an enemy."""
