old,english,speaker
少し、話してもいいですか？,,Leo
いい話なら聞いてやる,,Elliot
"ここはわたしの故郷、フィンダムです
到着してすぐにわかりました",,Leo
記憶が戻ったんだね！,,Leo
――ほんの少しです,,Gurdolin
"焦らない焦らない！
で、フィンダムって、この島の名前？",,Lise
"いいえ、フィンダムも、レスタニアには及びませんが
相当な広さの大陸です",,Leo
この島は、その一部が切り取られたもの――,,Gurdolin
切り取られた！？,,Leo
途方もない話だけど、ほら――,,Leo
"白竜様だって、メルゴダを地上から消し去ったことが
あるからね",,Leo
"うごめく魔物たちも
フィンダムのものに間違いありません",,Leo
"フィンダムに戻らなくては！
今ここで内なる力を解放して――",,Leo
"白竜様の言ったこと、忘れた？
記憶が戻るまで、力を使うことは許さない",,Leo
"その力で帰れるとは限らないし
黒騎士のことだって何も解決していない",,Leo
――ひとりでどうするの？,,
それ以上進んだら、わたしたちの友情も終わりだよ？,,
進めば進むほど、胸の傷がうずくんです,,
"まるで、帰って来いと呼ぶように
まるで、故郷が近いと告げるように！",,
"胸の傷ってセシリー
てめえ、もしかして――覚者か？",,
そう――なのでしょうか？,,
