old,english,speaker
"ナヴィド・クルト――
貴様だけは絶対に許さない！",,Leo
"愚かなメフィス、そして異国の覚者よ――
一体誰に刃を向けている",,Elliot
"貴様こそ
一体どういう状況か分かっているのか？",,Leo
悪事は全て暴かれたんだ,,Leo
"明日の朝にはクルト侯爵逮捕と
その悪事の数々が、街を賑わせていることだろう",,Gurdolin
"悪事だと？
私がいなければこの王都は今頃――",,Lise
"愚かな兄による無為な戦火により
灰燼に帰していたのだ！",,Leo
"この王都が残ったのも犠牲者があの程度で
済んだのも、誰のおかげだと思っている",,Gurdolin
"貴様が抗う間も与えず死に追いやった多くの国民や
エミル公爵がそんな言い訳で納得するとでも？",,Leo
フン――,,Leo
"覚者よ、大局を読む目を持つ貴様なら
理解できるだろう？",,Leo
"散々命を狙っておきながら、理解しろだと――
ふざけるな！",,Leo
その汚い口で、こいつに話しかけるんじゃない！,,Leo
――そうか、残念だが仕方ない,,Leo
ならば明日の朝、街を賑わせる話題は――,,Leo
"レジスタンスの壊滅
そして英雄の死となることだろう",,
来るぞ――気を引き締めろ！,,
