old,english,speaker
"ウッ！　グッ――
（倒れる際のリアクション）",,Leo
"コハッ――ハッ――
（倒れている際のリアクション、呼吸）",,Leo
わたしは――闇の中では倒れぬ,,Leo
"ウゥゥ――ハッ！！
（剣を構える際の気合、リアクション）",,Leo
こっちだって――まだまだ！,,Leo
おまえら、行けそうか,,Leo
俺は――！？,,Leo
なんだろう――身体が重くて――,,Leo
闇が身体に入り込む――,,Gurdolin
はぁぁぁぁぁっ！（リアクションボイス）,,Leo
うっ（リアクションボイス）,,Leo
くっ（リアクションボイス）,,Leo
ああっ（リアクションボイス）,,Leo
隊長！,,Lise
え？,,Gurdolin
なんだあれは――,,Elliot
セシリーの竜力！,,Leo
ネド王子の竜力も！,,Gurdolin
ぐおおおおおっ！,,Lise
おぶっ！！！,,Elliot
なぜだ――わたしは倒れん――,,Gurdolin
必ず、理を――,,Gurdolin
（苦鳴）ぼはああああああっ！！！,,Lise
崩して――見せ――よう――,,Lise
やった！,,Elliot
それでいい,,Elliot
レオ！,,Lise
レオ統率！,,
まもなく黒竜のための門が開く,,
何を言ってるんですか！？,,
いよいよ現れるぞ,,
待ちやがれ！,,
んっ、,,
