old,english,speaker
"ささいな抵抗を重ねたとて
滅びの運命からは逃れられぬ",,Leo
"王子よ
おまえの持つ竜の力を差し出せ！",,Elliot
"さすればおまえの王国も
我らが闇へと迎えてやろう",,Leo
"僕の内に流れる火竜の力――
この力は闇の力と戦うためにあります",,Leo
本当は僕も戦いたい――,,Gurdolin
けれど、僕では闇の力にはかなわないだろう,,Lise
だから、この世界で最も信頼できる人に託します,,Leo
隊長さん――火竜の力、受け取ってください,,Gurdolin
んっ―（竜力を主人公へ譲渡する際のリアクション）,,Leo
ネド王子の竜力がっ,,Leo
隊長の中にっ,,Leo
入りやがった！,,Leo
白竜の覚者――忌々しい存在よ,,Leo
"レスタニアの数多の覚者のひとりに過ぎぬと
看過してきたが",,Leo
塵のような存在といえど、覚者は覚者か,,Leo
さあ、我が闇の世界へ来てみよ,,
"貴様を倒し
数多の覚者とともに根絶やしにしてくれよう",,
気配が――,,
消えたね,,
望み通りこっちから行ってやろうぜ,,
次は逃がさねえぞ,,
"決戦は近いということですね
ええ、望むところです！",,
