old,english,speaker
"おお、来たか
ここが城壁の村ロスギルだ",,Leo
"世話人にして領主のイェルハルドは
長く王家とともに歩んだ地方豪族",,Elliot
"悪い人間ではないが、猜疑心強く
加えて偏屈な頑固者",,Leo
"何かと面倒な男だからうまく扱わないと
話が進まんから――",,Leo
（咳払い）,,Gurdolin
メイロワ将軍、遠路はるばる良くいらっしゃいました,,Lise
"おお、イェルハルド！
さあ、中へ入れてくれ！　開門だ！",,Leo
"旧知のあなたのために門を開くのは
やぶさかでありませんが、はて、その用向きは？",,Gurdolin
"ひとつはネド王子の行方――
盗賊と行動を共にしているとの情報を得た",,Leo
"もうひとつはジリアン――
昨日から盗賊の地を目指し、単独行動をとっておる",,Leo
"盗賊が隠れ住む西方のことは
おまえさんたちの方が詳しかろう",,Leo
"となればイェルハルド
ここはおまえさんに頭を下げて力を借りるのが得策",,Leo
得策――たとえ思っても口にしないものですよ,,Leo
"しかしまあ、事情はわかりました
そういうことであればさっそく開門――",,Leo
"と、したいところですが、実はここよりそう遠くない
場所に、魔物の巣窟ができてしまいましてな",,Leo
"開門すれば魔物どもまで入り込んでくるのではと
戦々恐々としているのです",,
回りくどい――回りくどいぞイェルハルド！,,
魔物を倒せというのだな！,,
"そうは申しませんが、倒して頂ければ
中にお招きして、熱いお茶でもお出ししましょう",,
待っておれ！,,
