old,new,english,speaker
"我が主殿――そう慌てないで
まずはクランショップから≪ポーン遠征隊≫を
購入することが、スポットを探索するための
輝かしき第一歩なのですよ",,,Clan Member's Pawn_normal
"残念ながら、クラフト中のポーンは
ポーン遠征隊として探索に参加できないのです
まぁ、当然と言えば当然ですね",,,Clan Member's Pawn_normal
麗しき我が主よ、本日はいずこへ探索に？,,,Clan Member's Pawn_normal
"おや！　主殿、今日は
スポット探索に派遣済みですから
これ以上は探索に参加できないようです――が
その前のめりな姿勢、嫌いではありませんよ",,,Clan Member's Pawn_normal
それでは、この私が探索に行って参りましょう,,,Clan Member's Pawn_normal
"おやおや、覚者殿
お手持ちに<VAL>個の空きがありませんね
遠征成果をお渡しすることができませんよ",,,Clan Member's Pawn_normal
"覚者殿、《<VAL SPOT>》へ
探索に行って参りましたよ
ええ、それから<VAL EMNAME>
<VAL>体などの討伐をこなしました",,,Clan Member's Pawn_normal
"《<VAL SPOT>》からただいま戻りましたよ
<VAL EMNAME><VAL>体などの
討伐を行いました
――これでよろしいのでしょう？",,,Clan Member's Pawn_normal
"この私の《<VAL SPOT>》探索を
<VAL EMNAME>どもが
少々邪魔でしたので――
<VAL>体程度討伐してやりましたよ、我が主",,,Clan Member's Pawn_normal
"《<VAL SPOT>》を探索して
参りました
宝物を発見し――もちろん入手しましたとも
さて、我々の次なる獲物はどちらです？",,,Clan Member's Pawn_normal
"《<VAL SPOT>》にて入手した
この素晴らしい宝物をお受け取りください
必ずや、貴方を陶酔の境地へ
お連れすること請け合いです",,,Clan Member's Pawn_normal
"主殿――先のご命令通り
《<VAL SPOT>》探索を行いました
道中にて発見したこの宝物――少々入手に代償を
払いましたが――成果としてお受け取りください",,,Clan Member's Pawn_normal
"ああそれから、《<VAL SPOT>》に
異変が起きているようですね
クランメンバーの方たちとご一緒に
探索を行ってはいかがでしょう？",,,Clan Member's Pawn_normal
"聡明なる我が主殿――
遠征成果の取り忘れはありませんね？",,,Clan Member's Pawn_normal
"さぁ主殿――この私に語りかけて来たからには
さぞかし重大な使命をお持ちになられたのでしょう
――してご用件は？",,,Clan Member's Pawn_normal
本日も、怪我の無きよう――,,,Clan Member's Pawn_normal
"素晴らしい拠点ですね――
覚者殿の栄光を刻むに
ふさわしい場ではないですか",,,Clan Member's Pawn_normal
"これだけ広い拠点です――
もしも隠し部屋があったら、と空想してしまいます
いつもと違う場所を進んだり
童心に帰ってみるのも悪くないでしょう",,,Clan Member's Pawn_normal
