old,new,english,speaker
"覚者さま――あのう
クランショップから≪ポーン遠征隊≫を購入すれば
スポットを探索できるようになる、みたいです――",,,Clan Member's Pawn_sexy
"ご、ごめんなさい――！
クラフト中のポーンは、ポーン遠征隊として
探索に参加することはできないんです――",,,Clan Member's Pawn_sexy
"覚者さま、今日はどこへ
探索に行かれるんでしょうか――",,,Clan Member's Pawn_sexy
"あ、あれ――？
覚者さま、今日はスポット探索に派遣済みのようです
探索に参加できないみたい――ごめんなさい",,,Clan Member's Pawn_sexy
"覚者さま、それじゃあ――探索に行ってきます
うぅ、うまくいくといいなぁ",,,Clan Member's Pawn_sexy
"あのぅ――覚者さま？
その――手持ちに<VAL>個の空きがなくて、
遠征成果をお渡しできないみたいです",,,Clan Member's Pawn_sexy
"か、覚者さま――！
《<VAL SPOT>》へ探索に行き
<VAL EMNAME>を<VAL>体などの
討伐を頑張りました――！",,,Clan Member's Pawn_sexy
"あ――あのう、覚者さま
ご命令通り《<VAL SPOT>》へ行き
<VAL EMNAME>を<VAL>体など――
なんとか討伐、できたみたいです",,,Clan Member's Pawn_sexy
"《<VAL SPOT>》へ探索に行き
<VAL EMNAME><VAL>体などの
討伐成功しました――！
覚者さまに、喜んでもらえると嬉しいです",,,Clan Member's Pawn_sexy
"《<VAL SPOT>》探索、完了です！
それで、あ、あの、お宝を見つけました！
持ち帰ってきたんですけど――
あんまり期待しないでくださいね――",,,Clan Member's Pawn_sexy
"《<VAL SPOT>》の探索へ行ってきました――
あの――これ、見つけたお宝です
喜んでもらえるかは、わからないけど――",,,Clan Member's Pawn_sexy
"覚者さま――ご命令いただいた
《<VAL SPOT>》探索、完了です
お宝を見つけたので持ち帰ってきたのですが
これで、よかったですか――？",,,Clan Member's Pawn_sexy
"そ、それと《<VAL SPOT>》に
異変が起きているみたいで――
クランメンバー全員で探索を行ってみると
いいかも――です",,,Clan Member's Pawn_sexy
"覚者さま――あ、あの
遠征成果の取り忘れには、お気を付けください――",,,Clan Member's Pawn_sexy
"覚者さま――あ、あの、お役にたてるなら
どんな事でもやりますから
――なんでも言ってくださいね",,,Clan Member's Pawn_sexy
足を引っ張らないように――今日も、がんばります！,,,Clan Member's Pawn_sexy
"立派で素敵な場所ですね――
――自分には立派過ぎて、少し緊張します",,,Clan Member's Pawn_sexy
"うう、広すぎて迷ってしまいそうです――
怪しげな梁や隙間も多いですし
うっかり隠し部屋に迷い込んでしまったりして――",,,Clan Member's Pawn_sexy
