old,new,english,speaker
"あら――マスター、クランショップから
≪ポーン遠征隊≫を購入することで
スポットを探索できるようになるみたいよ",,,Clan Member's Pawn_sexy
"ごめんね、マスター――
クラフト中のポーンは
ポーン遠征隊として探索に参加できないの",,,Clan Member's Pawn_sexy
"今日はどこへ探索に行けば
いいのかしら、マスター？",,,Clan Member's Pawn_sexy
"あら――ごめんなさいね、マスター
今日はもうスポット探索に派遣済みだから
参加できないの",,,Clan Member's Pawn_sexy
マスター、それじゃ――行って来るわね,,,Clan Member's Pawn_sexy
"マスター、遠征成果をお渡ししたいんだけど――
手持ちに<VAL>個の空きを作ってもらえるかしら？",,,Clan Member's Pawn_sexy
"《<VAL SPOT>》へ探索に行ってきたわ
そこで<VAL EMNAME>
<VAL>体などの討伐をしてきたの――
あなたを喜ばせたくて、頑張ったのよ",,,Clan Member's Pawn_sexy
"《<VAL SPOT>》の探索から戻ったわ
危ない所だったけれど<VAL EMNAME>
<VAL>体などの討伐をしてきましたよ
これからはあんまり無茶しない方がいいわね――",,,Clan Member's Pawn_sexy
"あなたが命じた通りに《<VAL SPOT>》を
探索して、<VAL EMNAME>
<VAL>体などの討伐をしてきたわ――
あたしのいない間、お変わりなかったかしら？",,,Clan Member's Pawn_sexy
"《<VAL SPOT>》へ探索へ行ってきました
素敵なお宝を見つけて――
きっとマスターが喜ぶと思って、持ち帰ってきたの
ね、どうかしら？",,,Clan Member's Pawn_sexy
"マスター、ご命令通り《<VAL SPOT>》の
探索に行ってきましたよ
素敵なものを見つけたから、持ち帰ってきたの
ふふ、喜んで下さると嬉しいわ",,,Clan Member's Pawn_sexy
"マスター、《<VAL SPOT>》の探索へ
行ってきたんですけどね――
はぁ、あたしったら危ない所だったの
でもほら、お宝のお土産があるのよ",,,Clan Member's Pawn_sexy
"あぁ、それから《<VAL SPOT>》に
異変が起きているみたいよ
クランメンバー全員で探索を
行ってみるのはどうかしら？",,,Clan Member's Pawn_sexy
ねえマスター、遠征成果の取り忘れは無い？,,,Clan Member's Pawn_sexy
"はいはい、どうしたの？
あたしになにか用があるんでしょう？",,,Clan Member's Pawn_sexy
今日も怪我には気を付けてね、マスター,,,Clan Member's Pawn_sexy
"うふふ――
こんな素敵な場所で覚者同士集まったら、
ポーンの事なんて忘れちゃうんじゃないかしら？",,,Clan Member's Pawn_sexy
"これだけ大きいと、隠し部屋なんかが
あってもおかしくないわよね――
いつもと違う所を歩いてみるのもいいけれど
滑って怪我したりしないでね",,,Clan Member's Pawn_sexy
