old,new,english,speaker
"マスター！
クランショップから≪ポーン遠征隊≫を購入すれば
スポットを探索できるようになりますよ
さぁさぁ、買いに行きましょう！",,,Clan Member's Pawn_active
"マスター、クラフト中のポーンはポーン遠征隊として
探索に参加することができないのです！
あぁっ――クラフトも派遣も同時にこなせたら
もっとお役にたてるのに！",,,Clan Member's Pawn_active
"マスター、今日はどこへ探索に行きましょうか？
山でも谷でも、私にお任せください！",,,Clan Member's Pawn_active
"マスター、今日はスポット探索に派遣済みのため
探索に参加できません――
明日の探索が楽しみですね！",,,Clan Member's Pawn_active
マスター、それでは行って参ります！,,,Clan Member's Pawn_active
"マスター、申し訳ありません！
手持ちに<VAL>個の空きがないと
遠征成果をお渡しできないのです！",,,Clan Member's Pawn_active
"マスター！
《<VAL SPOT>》へ探索に行き――
そしてなんと！<VAL EMNAME>
<VAL>体などの討伐を完了しました！",,,Clan Member's Pawn_active
"《<VAL SPOT>》へ探索に行き――
<VAL EMNAME><VAL>体などを
討伐して参りました、マスター
次は――きっと、もっとうまくやれるはずです！",,,Clan Member's Pawn_active
"《<VAL SPOT>》へ探索に行き
<VAL EMNAME><VAL>体など
討伐して参りました！
かなり、手応えを掴めた気がします！",,,Clan Member's Pawn_active
"《<VAL SPOT>》探索完了です！
お宝を見つけましたので
もちろん持ち帰って参りましたとも！
これは素晴らしい品に違いありませんよ！",,,Clan Member's Pawn_active
"《<VAL SPOT>》の探索へ
行ったところ――
なんと、お宝を発見したのです！
持ち帰ってきましたので、どうぞお納めください！",,,Clan Member's Pawn_active
"《<VAL SPOT>》の探索へ行き
宝を発見しましたので、なんとか持ち帰りました
――いやぁ、九死に一生を得ました！",,,Clan Member's Pawn_active
"それから、《<VAL SPOT>》に
異変が起きておりました
さぁマスター、クランメンバー全員で
探索を行いましょう！",,,Clan Member's Pawn_active
"マスター！
遠征成果の取り忘れにはご注意ください！",,,Clan Member's Pawn_active
"はいマスター！
さて、今日はどんな奴をやっつけにいきましょうか？",,,Clan Member's Pawn_active
マスター、本日も鍛錬日和です！,,,Clan Member's Pawn_active
"マスター、鍛錬は裏切りません！
いざと言うとき後悔しないため――
共に頑張りましょう！",,,Clan Member's Pawn_active
"この拠点は――広い上に謎めいていて
ワクワクしますね、マスター！
身体を動かすのに最適な梁や凸凹の多い建物です
どうです、共に隠し部屋探しでも？",,,Clan Member's Pawn_active
