old,new,english,speaker
"戦士に休息の場を提供するのがわしの仕事だ
宿の手配から弱化回復まで、何でも言ってくれ",,,Audran
"勇猛な戦士にも休息は必要だ
必要な時に必要なだけ休まねばならん",,,Audran
"寝床を使うなら<VAL PRICE_INN>貰うことになるが
いいか？",,,Audran
はい,Yes,,Audran
いいえ,No,,Audran
"見ての通り、今は空いている
よし、好きな寝床を使うといい！",,,Audran
はい,Yes,,Audran
いいえ,No,,Audran
"戦って、一時の休息を楽しむ――
そしてまた戦いに出る！
どうだ、これこそ戦士として理想の生活だろう",,,Audran
"《弱化の治療》なら
<VAL PRICE_WEAK>必要だが――",,,Audran
はい,Yes,,Audran
いいえ,No,,Audran
"ハッハッハ！
弱化にはなっていないようだ
弱気にはなっているようだがな",,,Audran
"わしも今は引退してのんびりしているが
鍛練は怠っていないぞ",,,Audran
"――まずは身の証を立ててから
来るべきじゃないのか？",,,Audran
"身の証を立てる前に
休息を取りたいというなら
そりゃ、かまわんが――",,,Audran
