old,english,speaker
"ハ～イ、ステキな覚者さん
もっと輝いてみない？
気分転換にもいいわよぉ",,Serine
"人のお洒落をお手伝いするのって
とってもワクワクするの",,Serine
"だって、あたしの技術で"人"が変わるのよ
ふふっ、スリルあるでしょぉ？
――わからない？",,Serine
"今の気分やお気に入りの装備に合わせて
メイクや髪型を変えてみない？
お洒落はトータルバランスが大事なのよぉ",,Serine
"似合わないスタイルがあるって――諦めてない？
ちょっと調整するだけで
似合うようになるんだからぁ！",,Serine
""諦め"はお洒落ゴコロの敗北よ
"挑戦"こそお洒落の真髄ってねぇ",,Serine
"うんうん、もっとイイ感じにしちゃいましょ！
スタイリングは<COL b92828><UNTN GS></COL> <VAL PRICE_PARLOR_GP>よ
声やポーンの喋り方なんかはオマケするから
気軽に変えてみてねぇ",,Serine
"うんうん、もっとイイ感じにしちゃいましょ！
スタイリングは<COL b92828><UNTN GS></COL> <VAL PRICE_PARLOR_GP>よ
今なら特別に<COL b92828><UNTN TK></COL> <VAL PRICE_PARLOR_TK>でも大丈夫！
声やポーンの喋り方なんかはオマケするから
気軽に変えてみてねぇ",,Serine
"えっ、どこどこ？
――ねぇ、あなたポーンと契約してないんじゃない？
ポーンって確か、リムストーンを集めて
契約の儀式しないといけないのよぉ",,Serine
"ポーンと契約したら、いつかその子のことも
あたしにスタイリングさせてねぇ",,Serine
"わかるわ！　いいわよねぇ、燃えるわよねぇ
<COL b92828><UNTN GS></COL> <VAL PRICE_REBORN_GP>ポッキリで
とびきりステキになるようにお手伝いしちゃう！",,Serine
"わかるわ！　いいわよねぇ、燃えるわよねぇ
いつもは<COL b92828><UNTN GS></COL> <VAL PRICE_REBORN_GP>もらってるんだけど
今だけ特別に<COL b92828><UNTN TK></COL> <VAL PRICE_REBORN_TK>でも大丈夫よ
とびきりステキになるようにお手伝いしちゃう！",,Serine
"あはは、<COL b92828>男性か女性専用のアイテム</COL>を装備したままだと
転生したところで合う服が無くなっちゃう！
専用品ははずしてから来てねぇ",,Serine
"大変よね、わかるわぁ
こんな時こそ気合入れなきゃ、でしょぉ？",,Serine
"まかせて！
いつも以上に気合が入るように
ばっちりコーディネートしちゃうんだから",,Serine
"ポーンのメイクや髪型なんかも
変えていかない？
気合の入ったポーンを連れていれば
力が湧いてくるかもしれないわよぉ",,Serine
"いついかなる時でも、おしゃれは必要よぉ
"その時々に合わせたおしゃれ"ってやつ！",,Serine
