old,new,english,speaker
"休みたいのか？　ああ、いいとも！
<VAL PRICE_INN>だよ
すまないな、色々と苦しくてさ――",,,Bruno
はい,Yes,,Bruno
いいえ,No,,Bruno
"皆疲れてるから
あまり長くは休んでもらえないが――
よかったら、少し休憩していくかい",,,Bruno
はい,Yes,,Bruno
いいえ,No,,Bruno
"あんたも大変みたいだな――
《弱化の治療》なら
<VAL PRICE_WEAK>だけど、いいかい",,,Bruno
はい,Yes,,Bruno
いいえ,No,,Bruno
"弱化してないみたいだな
――つらい気持ちは分かるぜ
身体が重く沈んで、何にもしたくなくなる
そんな時は素直に休んだ方がいい",,,Bruno
"調子はどうだ？
良くはなくても、悪くなきゃいいんだが",,,Bruno
"皆辛いのはわかるけど
沈んでたって仕方ないからな",,,Bruno
"ほら、気持ちの持ち方ってところも
絶対あるはずだから――
せっかく生きてるんだ
前を向くふりだけでもしないと",,,Bruno
"こうして命があること自体を喜ばないと――
そう、昨日してた心配は杞憂だったってね",,,Bruno
