old,new,english,speaker
ああ、ジフール砦の件だな？,,,Walt
"ここ《フェルヤナ荒原》にあるジフール砦――
幾度となくオーク達に占領されてきたが
その度に取り返してきた",,,Walt
"そこに異国の覚者の力が加われば
怖いものなしだな！
――本当に、頼りになる存在だよ、お前たちは",,,Walt
"お前たちの姿を見るだけで
勇気づけられるという者も多いんだ",,,Walt
"ダクレイム砦の奪還は鮮やかだったな！
――今回も頼りにしてるぞ",,,Walt
"ジフール砦に出撃する前に
少し休んでいきたいということか
俺の顔で安く泊まれるように案内しよう
<VAL PRICE_INN>はかかるが、それでいいか？",,,Walt
はい,Yes,,Walt
いいえ,No,,Walt
"疲れが溜まると本来の力を発揮できなくなる
お前がそうなると困ることばかりだ！
休みたいならそこらで好きに休憩していってくれ
誰にも文句は言わせないからさ",,,Walt
はい,Yes,,Walt
いいえ,No,,Walt
"《弱化の治療》か
もちろん出撃前には大切なことだよな
<VAL PRICE_WEAK>くらいでどうだ？",,,Walt
はい,Yes,,Walt
いいえ,No,,Walt
"――んん？
どこら辺が《弱化》してるんだ――？
すまないが、よくわからんな",,,Walt
"おいおい、既に別のミッションを
受注しているじゃないか",,,Walt
"こちらのミッションへ出撃する場合は、
今受注しているミッションを解散してから
改めて尋ねてきてくれ",,,Walt
