old,english,speaker
ああ、隊長か――うん、なに？,,Gillian
"ジョゼフ神官――だっけ？
ネド王子の勉強のためにって
色々と取り計らってくれたらしいけど
それって本心かな",,Gillian
"別に、こういう遊び？　祭り？
みたいなものが嫌いなわけじゃない
ただ――あまり慣れないだけ
これでも楽しんでるよ",,Gillian
"なんだかいい香りがするね
香ばしいような、濃厚なような――",,Gillian
"隊長――意外とキザなことするんだね
"一人だけに、一つだけ"をわたしに、なんて",,Gillian
"――ありがとう
さっきはああ言ったけど
本当にくれるだなんて、思ってもみなかった",,Gillian
"今回はネド王子の付き添いのつもりで来たから
えーと、自分が何か貰うなんて
本当に予想外で――とにかく、ありがとう",,Gillian
"ふふ、来てみてよかったよ
このケーキ――大切に食べるから",,Gillian
ん？　何か用があったんじゃないの？,,Gillian
"このケーキ、渡せるのは
"一人だけに、一つだけ"って聞いたけど？
もし余っちゃったんなら
自分で食べてもいいんじゃないかな",,Gillian
