old,new,english,speaker
"あら、覚者様じゃない
今日はどうしました？",,,Thea
"ぐっすり眠ると、心も体も癒されますものね
適切な休養って大切なんですよ
ああ、お代は<VAL PRICE_INN>です
休んでいかれるでしょう？",,,Thea
はい,Yes,,Thea
いいえ,No,,Thea
"そうですね――今はベッドにも空きがあるし
自由に眠っていってもらって大丈夫です
こういう日があってもいいじゃないですか",,,Thea
はい,Yes,,Thea
いいえ,No,,Thea
"そんな体でここまで来られたなんて
それだけで上等ってものですよ
さぁ、《弱化の治療》は<VAL PRICE_WEAK>です
治療しますよね？",,,Thea
はい,Yes,,Thea
いいえ,No,,Thea
"あらら、覚者様はきっと心が疲れてるんですよ
じゃなければ、《弱化》もしてないのに
治療してほしがるわけないもの
ちょっと眠っていかれたら？",,,Thea
"激戦の野営地でもありませんからね
この城内での体調不良は、大体眠れば
よくなるんです",,,Thea
"私が一番気を付けたいのは、心の健康――
勝利の喜びで疲れや病気に
気付かなくなっちゃう人が時々いるのよねぇ",,,Thea
"今、一番気を付けたいのは、心の健康――
勝利の喜びで疲れや病気に
気付かなくなっちゃう人が時々いるのよねぇ",,,Thea
"メルテムは放っておくと
すぐ傷だらけになるから困ってるんです
覚者様も、あまり無理はなさらないでくださいね",,,Thea
