old,new,english,speaker
"あなたに授けられる《復活力》の加護は
1度に3回分まで――
お忘れなきよう",,,Diadora
"必要とあらば、貴方のために
貴方を加護する竜へと祈りを捧げましょう
それが、私の役目であるようです",,,Diadora
"異なる竜に仕える覚者よ
私の祈りが必要でしょうか？",,,Diadora
"この者が仕える竜よ、《復活力》のご加護を――
あなたの覚者が、三たび倒れども
立ち上がることができますよう――",,,Diadora
"――おや、あなたは既に本日《復活力》の加護を
受けられたご様子
加護を受けられるのは日に１度です
わかっておいででしょう？",,,Diadora
"おや、異なる竜に仕える方よ
既に《復活力》の加護で満たされていますね",,,Diadora
"加護を失いし時にこそ、私をお訪ねください
どうか良き旅を",,,Diadora
"おや、まだ《復活力》の加護に
守られておいでですね
残っている復活力を捨て、新たな復活力を
授かりますか？",,,Diadora
はい,Yes,,Diadora
いいえ,No,,Diadora
"では、今日も大いなる竜のご加護が
あらんことを――",,,Diadora
"私は本来、精霊竜様とその覚者様をお助けするため
《芯なる樹》にいたのですが
このような状況となり、ダナへと参りました――",,,Diadora
"私はこの場に居るべきだと感じたのです
――それがこのフィンダムのためになる
今も、そう信じています",,,Diadora
大いなる竜の加護は、常に貴方と共に――,,,Diadora
"あら――
私はわかっていますよ
貴方は竜に仕える覚者でしょう",,,Diadora
