old,new,english,speaker
"時が止まり、歪な異界にあっても
私達はやはり人",,,Actaeon
"それが必要であろうがなかろうが
食し、眠り、日々の営みを同じく送ろうとするは
地上と変わりはいたしません",,,Actaeon
"地上では、錬金術は失われたと聞きます
どのように薬を作り、魔物を治めるのか
非常に興味深い",,,Actaeon
"錬金術についてより深く識りたいのであれば
テオドール様に教えを乞うとよいでしょう",,,Actaeon
"それが、貴方がたの世界で禁じられた
ものであるなら、勧めはいたしませんが",,,Actaeon
"泊ってゆくなら、それもよいでしょう
何分資源の少ない地、対価として
<VAL PRICE_INN>いただきますが
よいですか？",,,Actaeon
はい,Yes,,Actaeon
いいえ,No,,Actaeon
"《弱化の治療》ですか――なるほど
分かりました、対価として
<VAL PRICE_WEAK>いただきますがよいですか？",,,Actaeon
はい,Yes,,Actaeon
いいえ,No,,Actaeon
"おや、しかしながら
《弱化》の反応が見られません
思いすごしでありましょう",,,Actaeon
地上の者よ、よくぞ訪れました,,,Actaeon
"時には休養を取るも大事、無理はなさいませんよう
貴方の滞在は実に喜ばしいこと
対価は求めません",,,Actaeon
はい,Yes,,Actaeon
いいえ,No,,Actaeon
"地上の者よ
滅びが訪れる前に
また貴方の顔を見られて嬉しく思います",,,Actaeon
"たとえ理が――
この世が滅びようとも
貴方から受けた恩は忘れません",,,Actaeon
"終わりの見えない苦難の中にあろうと
再びレスタニア、そして神殿と
繋がりを持つことができた
それだけで十分と思えるようになりました",,,Actaeon
"良いのです
考える時間は、もう十分に与えられました",,,Actaeon
