old,english,speaker
"何なりと、覚者様
私にできることであれば
喜んでお手伝いいたします",,Bacias
"火垂れ山は火竜様がお休みになる場所
王族でなければ立ち入ることは叶いませんよ",,Bacias
"ここからですね
アッカーシェランが再び羽ばたくため
どうかお力添えを",,Bacias
"この場に戻ってこられたこと――
複雑な思いではありますが
何より、覚者様への感謝を",,Bacias
"クレス様のハイセプター、キルスティには
もうお会いになりましたか？",,Bacias
"クレス様以外には
気まぐれで扱いづらい人ですが――
その腕は確かですよ",,Bacias
"火竜様がお休みになられる火垂れ山に
魔物が巣食うなど、これまでならば
ありえないことです",,Bacias
"――私にも、そういった思い込みや
気の緩みがあったのでしょうね",,Bacias
"ドワーフオークたちの鍛冶技術は相当なものです
人の目にはどれも無骨な武具に見えますが
あれらにしか作り出せない性能を備えているのだとか",,Bacias
"火垂れ山は火竜様がお休みになられていた場所です
今や魔窟となってしまいましたが
門は固く閉ざされ、開門はわたし以外には不可能です",,Bacias
"つまり、人が無暗に入り込むという
心配だけはありません",,Bacias
"ふがいないことですが――
あんなことになってしまった今
私にできることは逃げることだけでした",,Bacias
"せめて、エリアマスターとして
覚者様をお支えできればよいのですが",,Bacias
"覚者様、こちらを――
心許ない物資ですが
何かのお役に立つかもしれません",,Bacias
"今週の支給品をお渡しいたします
これらが、覚者様の旅路を
少しでも明るくできればよいのですが",,Bacias
"ああ、ちょうど支給品を準備していたところです
――これだけのものを手配できるようになりました
私としても嬉しいものです",,Bacias
"解放軍の戦士たちが、この辺りには
珍しい素材があるかもしれないと言っていました
覚者様も、それらを探して装備を強化されては
いかがでしょうか",,Bacias
"わたしの知る、採集に向いた洞窟も
ご案内しておきましょう",,Bacias
"山頂にアンセスターオークが群れているとの
報せが入ってきました――
あれらは山に住む、非常に原始的なオークです",,Bacias
"知能こそドワーフオークに劣りますが
腕力では寧ろそれを軽々と上回る危険な魔物です
普段はそう大きな群れを作ることは無いのですが――
これも悪しき竜の影響でしょうか",,Bacias
"放っておいては、いずれ山から下りて
この辺りをも襲撃しに来ることでしょう
一刻も早く、群れを散らしてしまわねばなりません",,Bacias
"先日、オークどもを排除していただいたことで
オークを恐れていた商人たちが
この場へもやってくるようになりました
これまでよりも良い支援品をお渡しできそうです",,Bacias
"今更どのような顔でこの門前に戻れば良いのか――
しかし、あの時は殺されずにいるだけで
精一杯でしたが、今は覚者様や解放軍
そして盗賊である彼らまでいる――心強いことです",,Bacias
"覚者様、門の先は魔窟です
魔物が跋扈し、道ゆく者の命の炎を消さんと
襲いかかってくることでしょう",,Bacias
"先へ進むことができる力を持つのは
覚者様たちだけということになります
無論、門より向こうには村も拠点もありません
心して向かってください",,Bacias
"覚者様、武具は強化されているでしょうか？
解放軍の戦士たちは、続々と新たな素材を
手に入れているそうです
一度、彼らと情報共有をしても良いかもしれません",,Bacias
"各地には、王家の命により封じられている扉があります
それらを私の名の元に全て解放いたしましょう
覚者様の切り開かれる先に
この国の未来があるのですから",,Bacias
"わたしからも、優れた資源の在り処を
お伝えいたしましょう
危険度が高く、今まではお伝えするのをためらって
いましたが――覚者様ならば、ものともされない場です",,Bacias
"アッカーシェランは炎の国
そのせいか、死して体を失ってなお
炎を纏って徘徊する"影"のようなものが
歩き回っていることもあります",,Bacias
"すでに覚者様もご覧になったかもしれません
例えば、空を飛ぶもの、地を駆けるもの――
それらの姿をした"炎"を",,Bacias
"竜力の溜まりやすい場所には
それらが惹かれ、集まってくることも
あります",,Bacias
"ご注意ください
炎を纏った影とはいえ、甘く見ては
深手を負わされかねません",,Bacias
"中はマグマの影響によりかなりの暑さですが
耐えきれぬほどではありません
覚者様ほどの方であればなおさらでしょう",,Bacias
"しかし、過去この奥へと進まれた王族方の中には
熱くなってゆく貴金属が肌を焼くのを嫌い、
外しながら進んで行かれる方も珍しくなかったとか――",,Bacias
"運が良ければ、そのようなアクセサリーを
目にされるかもしれません
捨てていかれた物ですから、お気に召せば
覚者様の物となさっても何の問題もありません",,Bacias
"覚者様は火垂れ山のさらに奥まで
進まれるのですね
――お話いたしましょう
奥に何が巣食っているか――",,Bacias
"お帰りなさいませ、覚者様
闇の魔法を操るドラゴンを排除していただき
ありがとうございました",,Bacias
"これはわたしの推測ですが
火垂れ山はアッカーシェランの大地を巡る竜力が
最後に還ってくる場所であると考えています",,Bacias
"だからこそ、火竜様亡き今となっても
どうしても取り戻しておきたかったのです
本来であれば、火竜様の元に還るはずであった竜力
恐らく、火の力となって再び大地を巡ることでしょう",,Bacias
"それがいつまでもつかはわかりませんが
我々が新たな道を見つけるまでは
十分だと考えています",,Bacias
