old,english,speaker
ふふふ、何かしら,,Emerada
"舞台にいる彼――
あたくしの住まいに来た瞬間に
ひれ伏さんばかりだったの
よっぽど怖かったのかしら",,Emerada
"《パッションパピルス》で作った紙のこと？
もちろん知っているわぁ
かなり前に流行した品ね",,Emerada
"したためられた想いを
より強く相手の心に届けると言われているわ",,Emerada
"もっとも、それは魔術を扱える者が作ったもののみ
町の人が興味本位で作った紙に
そんな力は無いから、すぐに廃れてしまったの",,Emerada
"まだ少し風が冷たいでしょう
薄着の子たちには、ほんの短い間だけ
暖かい空気をまとえるようにしてあげる",,Emerada
"《パッションパピルス》の手紙――
あたくしにこの手紙を渡すなんて
勇気があるのね？",,Emerada
"紙や文字はさておいて
――なんてかわいらしい詩なの
嬉しいわ、この詩は
あたくしのためだけに編まれてここにあるのね",,Emerada
"まだまだつたないところもあるけれど
手に余る技術を駆使するよりも
素直な感性こそが響くというもの――
ふふ、よくわかっているじゃない",,Emerada
"でも、もっと上手に歌いたいのなら
あたくしが手ほどきをしてあげてもよくってよ",,Emerada
"美しいさえずりは
その翼をもより良く見せるのですもの
羽ばたきの日まで、楽しませてちょうだい",,Emerada
