old,english,speaker
ええ、アデムはうちの子ですけど――,,Josephine
"はぁ――何です？
うちの子へのご用でも、私がお聞きしますから",,Josephine
"――ああ、あなた
何かご用でも？",,Josephine
"少しそっとしておいてほしいんですよ
うちの子が傷付いてるの
見てわからないんですか？",,Josephine
"私たち、目の前で家を潰されたんです
この子も、それがショックで――",,Josephine
"さっきからじろじろ見て
一体何なんです？
わたしもアデムも何も持ってませんからね！",,Josephine
"ベルタ盗賊団のアジトでお会いしましたね
ほら、《湖畔の洞窟》にある――",,Josephine
"アデムも少しずつ落ち着いてきています
盗賊の人たちも気にかけてくださって――
あの人たちって、悪人のくせに
子供には優しいんですね",,Josephine
"家は潰されましたけど、きっとまた
私がお金を貯めて建て直してみせます
あの子を育てていかなくちゃ",,Josephine
"わたしの息子――
絶対に守り抜いてみせるわ",,Josephine
