old,new,english,speaker
"異なる大陸からの客人よ
私でお力になれることでしょうか？",,,Maia
"癒しを、救いを求めることは
決して悪いことではないはずです",,,Maia
"病にかかるは宿命です
しかし、病んだ"芯なる樹"は助けを求めている――
この現状に、我々はどう対処すればいいのでしょう",,,Maia
"精霊竜の守番として
我々は全力を尽くす所存です――",,,Maia
"旅の方にはこの寝床を
<VAL PRICE_INN>にて貸し出しています
簡素な宿ですが――
休んでいかれますか？",,,Maia
はい,Yes,,Maia
いいえ,No,,Maia
"本日は旅の方のため、宿を解放しております
どうぞ疲れを癒していってください",,,Maia
はい,Yes,,Maia
いいえ,No,,Maia
"《弱化の治療》には<VAL PRICE_WEAK>いただいています
時が経てば自然と治るものですが――
今すぐの回復をご希望でしょうか？",,,Maia
はい,Yes,,Maia
いいえ,No,,Maia
"おや、困りました――
弱化していないようですよ
気持ちがお疲れなのかもしれません
少しここでゆっくりしていかれては？",,,Maia
"異なる大陸からの客人よ
――空の異変の件で
来てくださったのですか？",,,Maia
"フィンダムの空に
あのような禍禍しいものが――",,,Maia
"何が起ころうと
我々は精霊竜の守番
ここを離れるわけにはまいりません",,,Maia
"精霊竜セシリーの心も
常にあなたとともにあることでしょう",,,Maia
