old,english,speaker
"地上の水、動物、人、全てが恋しい
貴方達を見ると不思議なことに
そういう想いが湧いてきます",,Ariadne
地上の品があれば、喜んで引きとりましょう,,Ariadne
役に立ちそうなものはありましたか？,,Ariadne
品物の取引であれば応じましょう,,Ariadne
"一つご忠告をしておきましょう
我らの元へ来る時は、可能なかぎり
拠点の礎を利用してください",,Ariadne
"《宮殿前広場》には、グリフィンアルケミーなどの
錬魔以外にも、メルガンの高等技師が機兵を
操っていることもあるのです",,Ariadne
"――ああ、我々も覚者であったなら
この礎で懐かしき地へ戻ることが
できるのに――",,Ariadne
"ええ、あなたとの取引であれば
いついかなる時でも応じましょう
それが助力となるのであれば――",,Ariadne
"地上のもの全てを恋しく思ってきました
たとえ我々がそれらを二度と見ることが無くとも
この世から失うわけにはゆきません",,Ariadne
"忘れないでください
メルゴダの民も、レスタニアの力と
なりたがっていたと",,Ariadne
"――この世は、全てをあなたに
背負わせることになってしまいましたね",,Ariadne
