old,new,english,speaker
"あら、こんにちは！
休んでいかれますか？
それとも、《弱化の回復》？",,,Shekel
"細々とやっているところですので――
休憩されるなら<VAL PRICE_INN>いただいても
よろしいでしょうか？",,,Shekel
はい,Yes,,Shekel
いいえ,No,,Shekel
"辛い時はお互い様、ですもんね
どうぞ、奥にベッドがありますから
疲れがとれるまで休んでいってくださいね！",,,Shekel
はい,Yes,,Shekel
いいえ,No,,Shekel
"《弱化の治療》ですね
<VAL PRICE_WEAK>です
しっかり治療しますから、安心してください！",,,Shekel
はい,Yes,,Shekel
いいえ,No,,Shekel
"うーん、わたしが見たところ
《弱化》はしてないみたいです
ここに来るまでに治ったのかしら――",,,Shekel
"あ、わたしばっかり座りながらでごめんなさい
ここに来るまでに足を痛めてしまって
立っていられないんです",,,Shekel
"村が――鎧を付けた大きな魔物に
襲われたんです
気付いたら家族ともはぐれて――",,,Shekel
"でも、逃げてくる途中で
ナヤジークさんに会えたんです
足を痛めたわたしに肩を貸してくださって
それで今、ここにいられています",,,Shekel
"父の真似事から始めたんですけど
医療の勉強をしていてよかったです
こうして皆さんのお役に立てますから",,,Shekel
