old,english,speaker
はい、何か,,Doris
"地下に隠れ潜んでいても
情報収集は怠っておりません
この地区のことであれば、何なりと",,Doris
"新たな情報でしょうか、それとも
何かお困りのことでも――？",,Doris
"メガドシスにおいて
アッカー家と覚者様をお支えすることが
第一の使命と考えております",,Doris
"まったく頭が痛くなることばかりですね
――いえ、頭痛持ちというわけでは
ありませんが",,Doris
"残念ながら、この状況です
十分な情報を提供できないのは
私も遺憾に思っています",,Doris
"やるべきことをやるのみ
兵士とはそういったものです",,Doris
"メガドを取り戻せたのは僥倖です
――はやく王宮を奪還したいものです
私たちは、本来あそこにいるべきなのです",,Doris
"王族を、王都をお守りするのが
我らメガド王宮近衛隊の使命――
一度その名が折れた悔しさを糧に
明日を切り開くのみです",,Doris
"王子を守りぬかねばなりません
何としても――",,Doris
"覚者様のお噂、この北の地まで響いてまいりました
王子を――ネド王子を救い出してくださったとのこと
我々近衛隊一同、心よりの感謝を――",,Doris
"何かお力となりたいのですが、負傷者が多く
この場を動くことが叶わないのです",,Doris
"くっ――
倉庫から日用品の類をかき集めてまいります
せめてもの支給品とさせていただきたく――",,Doris
"無いよりはまし、といった程度かも
しれませんが――これが今お渡しできる品々です
どうかご武運を",,Doris
"ちょうど良いところにおいでくださいました
今週の支援品を準備していたのです
まだ十分とはいえませんが
ある程度は使えるかと――",,Doris
"覚者様、ぜひこちらをお持ちください
微力ながら、日々貴方を支援することが
王家の再興に繋がるとかたく信じております",,Doris
"ハァ――各地にて苦境にある者からの
報告が絶えず舞い込んでくるのです
とはいえ、我々もこの有様――",,Doris
"覚者様、どうか彼らにも
手を差し伸べてはいただけませんか？
その代わりにという訳ではありませんが、
稀少な素材が採れる場所をお伝えしましょう",,Doris
"メガドを奪還するのであればニルビリス大橋を
確保すべきでしょう
この橋は城塞都市としての要の一つでもあります",,Doris
"しかし、魔軍の連中もそのことは承知の上と見え
橋の防衛を強化しているようです
我々の戦力では突破は叶いませんが
覚者様であれば、あるいは――！",,Doris
"戦場にて共に戦えず、申し訳ありません
少しでも支援品を増やせるよう
兵たちにも物資の節約を呼びかけている次第です",,Doris
"覚者様、ご無礼を承知で申し上げますが
見たところ、覚者様の武具はこの地の魔物には
少々不向きなご様子――",,Doris
"良い素材が採れる場をご案内いたしましょう
魔物が徘徊する薄暗き水路ではありますが
覚者様であれば問題にはならないはずです",,Doris
"実は、悪しき竜による襲撃があった日――
同時にメガド市街に大勢のオークが姿を現したのです
城壁の外と内からの攻撃に、メガドは
一日と持ちませんでした",,Doris
"今思い返しても、それが妙でして――
悪しき竜の襲撃こそ突然だったものの、それまで
街の防衛に問題はなかったのです",,Doris
"いえ、仮に何者かが魔軍の侵入を手引きしたとして
それを察知できなかった近衛隊の落ち度ということに
変わりはありませんが――",,Doris
"しかし、我々の情報収集能力とて
低くはないと自負しています
この規模となった今も、魔物が集まりつつある場は
把握しているのですから",,Doris
"――我々は"メガド王宮近衛隊"
この都市と、王族をお守りするため編成されました
自力での奪還こそ叶いませんでしたが
再びここに立つことができ、感慨無量です",,Doris
"近衛隊元隊長ベイジル
そしてこれまでに散っていった隊員たちの魂も
我々と共に、今ここにあることでしょう",,Doris
"時に――メガドには、王家の命により封鎖している
隠し扉がいくつか存在します",,Doris
"しかし、この非常事態です
覚者様のお力無しに状況を打開できぬことは明白
王宮近衛隊隊長の名に於いて、全てを解放いたします",,Doris
"城塞都市メガドが完全に"王都"として戻るまで
どうかお力をお貸しください",,Doris
"先日覚者様もご覧になったメガド回廊には
さらなる深部が存在します",,Doris
"脅威となる魔物が跋扈していますが
それだけ、今まで調査の手が入らなかった
場でもあります――
つまり、それだけ貴重な素材が手に入るのです",,Doris
"異国の覚者様
これよりお話することは
他言無用にお願いいたします",,Doris
"王家――アッカー家の方々は
代々アッカーシェランを守護してこられました
しかし、輝かしき統治には――
陰となる部分があるのです",,Doris
"無事のご帰還、お喜び申し上げます
アッカー家の統治無くしてアッカーシェランは無し
王家を守ることは、我らの国を守ることに
他なりません",,Doris
"過去の古き傷ともいうべき魔物の征伐
王家に仕える者として最大の感謝を――",,Doris
"覚者様――我々も、再び困難に
立ち向かう覚悟はできています",,Doris
"悲観する者もいるでしょうが
ネド王子がご健在です",,Doris
"それに、我々兵士とて数は減ったものの
厳戒態勢を解いたわけではありません
すぐに動くことができますから",,Doris
"この世には、理解も及ばぬほどの
圧倒的な力があるのでしょうね
あの渦を見ていると、そう思わされます",,Doris
"メガドの民は強いものです
――不安はあるでしょうが
生きようとしています",,Doris
