old,english,speaker
"まったく、君には世話になりっぱなしだな
ここまで手助けしてもらったら
なんだか申し訳なくなってくるよ",,Rondejeel
"僕ら兄妹から、心を込めて礼をさせてもらう
君がこの森に来てくれて本当に良かった
ありがとう",,Rondejeel
"ああ、君にはずいぶん色々と任せてしまったね
それに手際もなかなかのものじゃないか
妹も喜んでいるよ",,Rondejeel
"さすがに言葉だけというわけにはいかないから
またお返しを用意したよ
気に入って貰えるといいんだけど",,Rondejeel
"いくつか僕らの仕事を片付けておいて
もらえたみたいだね、助かるよ
少ないけどお返しを用意したんだ",,Rondejeel
"君が来てくれて嬉しいよ
好きなだけゆっくりしていってくれ",,Rondejeel
"あ、忘れるところだった
これ、リングディールと僕からさ
いつも世話になってるからね",,Rondejeel
"君のお陰で少し暮らしが華やかになった
気がするよ
ここは静かすぎるから",,Rondejeel
"よく来てくれたね
ああそうだ、君にこれをと思ってね",,Rondejeel
"君がこうして訪ねてくれることで
僕らも人との接し方を思い出せるんだ",,Rondejeel
"お客さん、遠いところ、せっかく来てくれたし
これを受け取ってくれ
またときおり訪ねてくれたら嬉しいな",,Rondejeel
"僕はロンドジール
このディナンの森でエリアマスターを
しているんだ",,Rondejeel
"どうだい？　ここは静かな所だろう
木々の声に耳を傾けながら
僕とリングディールは二人でエルフの
残した知識と技術を探し続けているのさ",,Rondejeel
"エルフがどう生き、何を考え、そして
生き続けていたのか――
彼らに少しでも近づきたくて、僕ら二人は
ここに移り住んだんだ",,Rondejeel
"おかしいかい？
――いいさ、気にしないよ",,Rondejeel
"とにかく、覚者の君が来てくれて嬉しいよ
最近は以前より魔物が増えてね",,Rondejeel
"僕らだけだと、手が足りなかったんだ
君が力を貸してくれるなら、僕らも相応の
礼はさせてもらうよ",,Rondejeel
"いくつか僕らの仕事を片付けておいて
もらえたみたいだね、助かるよ",,Rondejeel
"お返しに、君に渡せそうなものを
考えてみたんだ
少しは喜んでもらえるといいんだけどね",,Rondejeel
"そうそう、君にも伝えておこう
《グローン・ノス》――森の東にある淵辺は
エルフの言葉で"森の淀み"と呼ばれる
ところなんだけどね",,Rondejeel
"そこに、淀みが原因で生まれた魔物が
たまに湧くんだよ",,Rondejeel
"僕らも気が付いたら倒すようにしてるけど
最近増えてきたみたいなんだ
できれば君も手伝ってくれないかな",,Rondejeel
"この間は遺跡の件、本当に助かったよ
ずいぶんこの森に慣れてきた君に
僕ら兄妹から提案があるんだ",,Rondejeel
"君もリングディールと共に
《エレメントアーチャ―》として
研究を深めてみないかい？
失われつつあるエルフの戦闘術についてさ",,Rondejeel
"試す気になったら、リングディールに
声を掛けてくれ",,Rondejeel
"きっと君と研鑽しあった方が
妹も得るものが大きいと思うんだ",,Rondejeel
"そうだ、君にも伝えておこうかな
エルテ・ディナンへ続く路の脇に
《森民の地下道》っていう古い自然洞窟が
あるんだ",,Rondejeel
"かつて、エルフがミスリウ森林深部とディナンを
行き来するのに使っていた道さ",,Rondejeel
"だけど、彼らの都が滅んだ時かな――
昔のエリアマスターによって、その地下道は
ずっと封鎖され続けていたんだ
多分敵に道を利用されないためだろうね",,Rondejeel
"最近、その封鎖の解き方が分かってね
一応通れるようになったから、必要なら使うといい",,Rondejeel
もう、今は完全にただの洞窟だけど,,Rondejeel
"ああ、君にはずいぶん色々と任せてしまったね
それに手際もなかなかのものじゃないか
妹も喜んでいるよ",,Rondejeel
"さすがに言葉だけというわけにはいかないから
またお返しを用意したよ
次からはもっと良い物を渡すから
楽しみにしててよ",,Rondejeel
"そう言えば、森の南西に聖なる泉が
あるのは知ってるかい？
《エルネア・スプリング》という生命力を
強める泉さ",,Rondejeel
