old,english,speaker
"ふん、ラザネイルの言っていた
異国の覚者とは貴様のことか",,Adair Donnchadh
"ラザネイルにどこまで聞いたかはしらんが
名乗っておこう、俺はアデルドナハ
この《武霊の庵》にて、精霊槍の研鑽に努めている",,Adair Donnchadh
"――異国の者には精霊槍自体、馴染みが無いか
森羅万象の加護を得て己を奮い立たせ
そして、仲間を癒し導く槍術のことだ
その槍術を繰る者を《スピリットランサー》という",,Adair Donnchadh
"聞けば、貴様はこのフィンダムの地においても
大地と人々のために尽力しているそうだな
その精神は、確かに《スピリットランサー》に
ふさわしいと言えるだろう",,Adair Donnchadh
"貴様に精霊槍を操る資質があるのならば
俺が弟子にしてやってもいい――
ただし、資質に欠ける者を鍛える趣味はない",,Adair Donnchadh
"弟子入りを望むのであれば
俺のいう試練を見事こなしてみせるのだな",,Adair Donnchadh
"これは貴様だけでなく、弟子入りを希望する者
全員に伝えていることだ――悪く思うなよ",,Adair Donnchadh
"なるほど、最低限の素質はあるようだな
磨けば光る原石、といったところか",,Adair Donnchadh
"貴様を我が弟子として迎えよう――
森羅へ巡り満ちる霊力を取り込む術、そして
槍を振るうことで仲間を守る術を教え込んでやる",,Adair Donnchadh
"いいか、よく聞くがいい
貴様はまだ奥深き《スピリットランサー》として
霊力をまとうための第一歩を踏み出したところだ",,Adair Donnchadh
"今後の修練によって、その槍は
なまくらにも鋭くもなろう
全ては貴様の鍛練次第ということだ",,Adair Donnchadh
"気を抜いているようであれば
俺は何の稽古もつけん
――常に克己して鍛錬に励む様を見せてみろ",,Adair Donnchadh
"誇り高き《スピリットランサー》として
より鍛錬に励むがいい――
今の貴様にとって何より大切なのは
まず精霊槍をしっかりと握り、何度も振るうことだ",,Adair Donnchadh
"森羅を巡る霊力への感謝を忘れないこと
そして、精霊槍を己が体の一部として扱うための
土台となる体を作るのだ",,Adair Donnchadh
"目安としては――
ジョブレベルが１８になった頃か
それまでは余計なことは考えず
ひたすら鍛錬に励むように",,Adair Donnchadh
"ほう、まともに精霊槍を握る程度のことは
できるようになったか――",,Adair Donnchadh
"その努力を認め、稽古をつけてやってもよいが
まずはラザネイルへの義理を通すのが先だ",,Adair Donnchadh
"最初にその素質を見抜き
目をかけていたのはラザネイルだろう
一言、彼女に報告を入れてくるのだな",,Adair Donnchadh
スキル課題開放おめでとうな内容,,Adair Donnchadh
"ふむ、良い鍛練を積んでいるようだな
その面構え――そろそろ新たな技を
身に付ける頃合いのようだ",,Adair Donnchadh
"すぐに己がものとはならないだろうが
これまでと同じく鍛練に励めば
じきに貴様の腕に馴染もう",,Adair Donnchadh
"ふむ――異国の者がこれほどまでに
精霊槍を操るようになるとは――！",,Adair Donnchadh
"貴様がまとう風格、立派な
《スピリットランサー》そのものだ
実に――見違えるものだな",,Adair Donnchadh
"その力強く澄んだ瞳にこそ
より高度な技を伝授するにふさわしい
さらなる加護の力を掴み取るがいい",,Adair Donnchadh
"――どうやら俺は、思っていた以上に
良き弟子を得たようだ
ラザネイルにも礼を言わねばならんな",,Adair Donnchadh
"戦士として腕を上げたいのなら実戦が一番であろう
戦いの場に流れるものを掴み取れ",,Adair Donnchadh
"何事にも律動が存在するのだ
戦いの中にもそれは確かにある
機を逃さずそれらを己の技に取り込むことで
精霊の加護を得る――",,Adair Donnchadh
"大地、空気、水、あらゆる生物、それらの関係――
全てに注目し、敬意を払え
《スピリットランサー》とは
いわば生き方そのものなのだ",,Adair Donnchadh
"外に出ては魔物を狩る
家に帰れば自己省察と理論の追及――
この一日の積み重ねで己を鍛え上げるのだ",,Adair Donnchadh
この《武霊の庵》に何用か――,,Adair Donnchadh
"真実を語る者たちよ
俺にできることがあればなんなりと",,Adair Donnchadh
