old,english,speaker
おや、何か？,,Mordred
"わたしのことか？
――今は族長補佐をしているが
何事も無ければ、精霊竜の守番長を
務める予定だったのだ",,Mordred
"守番長として務め始めれば
しばらく村には帰って来られない
村にいる間は精一杯族長補佐として働くつもりだ",,Mordred
"これでなかなか忙しいもので
家でゆっくり休む間も無い――
とはいえ、うちの息子が
しっかりした子で助かっている",,Mordred
"《芯なる樹》はフィンダムに
暮らす者にとって崇敬の対象であり
同時に、心の拠り所となる景色の一部ともいえる",,Mordred
"雄大な《芯なる樹》を眺められる場所は
フィンダムのあちこちにある
自分の気に入る場所を探してみるのも
悪くないだろう",,Mordred
"わたしはモルフォール村のモードレッド
ガラダの留守を預かっている",,Mordred
"セシリーの恩人はガラダの恩人
そしてわたしの恩人でもある
何もないところだが、くつろいでくれ",,Mordred
"ガラダが一刻も早く回復するように
客人たちも祈ってくれ",,Mordred
"祈りなど我々の習慣にはなかったが
やってみると、心に刺さったトゲが
抜けていくのがわかるのだ",,Mordred
"フィンダムの大地を汚してしまったこと――
おまえたちと出会えたこと――
どちらもわたしは等しく受け入れいている",,Mordred
"それがいかんのだろうなあ
善し悪しを区別し、悪しきは排除しなくては
世はいつまでたっても変わらない",,Mordred
"フィンダムの危機におまえたちの世界と
交流を持てたことを幸運と呼ばずして
なんと呼べばいいのか――",,Mordred
邪悪な世界と繋がる可能性もあったのだからな,,Mordred
"フィンダムはもう大丈夫だ
これからは客人として
この美しい世界を楽しんでくれ",,Mordred
"我らの竜の目覚めはまだ先のようだが
大地や空気は徐々に清められている",,Mordred
セシリーの息吹を感じるよ,,Mordred
