old,english,speaker
うん、何かな？,,Kirsty
"レスタニア、君が護るべき国だね
一度この目で見てみたかった
招待、感謝するよ",,Kirsty
"こうしてたくさんの人と話したり
誰かと共にテーブルにつくのは久しぶりじゃないかな
ここが異国だからか、気分転換にもなるよ",,Kirsty
"火山が無いと、空はここまで透き通って見えるのか
どちらの空が良いというわけではないけど
私はやっぱり、アッカーシェランの
人間なんだなと思って――",,Kirsty
"一度受け取ったら
もう返せないけど――
ありがたくいただいてしまおうか",,Kirsty
"手紙――
ああ、この紙も普通の物じゃないね
手触りが独特だし、少し変わった香りもする",,Kirsty
"――紙も、言葉も、文字のデザインも
これだけ揃えるのは大変だったろう",,Kirsty
"このひとひらの中に
君が私のためにと考えてくれたものが
詰まっているんだね",,Kirsty
"まいったな
この素晴らしい贈り物への返礼として
渡せるものが、今の私には何もない――",,Kirsty
"そうだ――今度、お茶しに来ないかい
最近ようやく、とある焼き菓子を
それらしく作れるようになったんだ
ぜひ君に感想を聞かせてほしい",,Kirsty
