old,english,speaker
"これはこれは、いらっしゃいませ！
王都メガドで商うこと150年
由緒ある我が店でどうぞお買いものを！",,Erudoan
"ええ、当店は代々メガドで
商いをさせていただいておりますよ
メガドでのお買い物といえば当店！
自信をもってお勧めする品の数々！",,Erudoan
"――え？　ロスギルのエルセン商会？
確かに私と名前こそ似ておりますが
血縁などではございませんよ",,Erudoan
"あんな田舎のケチな商売人たちと
一緒にしないでいただきたいですねぇ",,Erudoan
"ささ、覚者さま
本日はどのような物をお探しで？",,Erudoan
"いらっしゃいませ、覚者さま！
王都メガドでのお買いものなら
《滅びの渦》にも負けない当店で！",,Erudoan
"何があろうと、そう
私の命が尽きる瞬間まで
店は開けると心に決めたのです",,Erudoan
"覚者さま、物資については
ご心配なさらず！
当店はいつでも、覚者さまをサポートいたします！",,Erudoan
"この世界が滅びるというのであれば
私は"メガドの商人"として
終わりを迎えてやろうと思いましてね",,Erudoan
