old,new,english,speaker
どうした、何か不都合でもあるのか？,,,Randolf
"具合が悪いならそう言え
タダでとはいかないが
<VAL PRICE_INN>で寝床を用意してやる
どうだ、休んでいくのか？",,,Randolf
はい,Yes,,Randolf
いいえ,No,,Randolf
"具合が悪いなら寝床を用意してやる
ま、あんたみたいな人間が普段寝てるような
静かで柔らかい寝床じゃあないがな
――それでもいいか？",,,Randolf
はい,Yes,,Randolf
いいえ,No,,Randolf
"《弱化の治療》か
<VAL PRICE_WEAK>払えるっていうなら
ここで治してやるぜ
手持ちの金は十分か？",,,Randolf
はい,Yes,,Randolf
いいえ,No,,Randolf
"――面白くもない冗談はやめろ
そういうことをやってると
本当に《弱化》した時に困るぞ",,,Randolf
"ここで寝ようと思ったら
人の話し声や足音は絶えねぇうえに
誰かが食ってる飯の臭いはするしで
最初は苦労するかもしれねぇな",,,Randolf
"でも、慣れるとそれが
"安心する物音"になるんだ
不思議だろ",,,Randolf
"おい、外に出たら
また魔軍との戦いだろうが
準備は万端にしていけ",,,Randolf
"言っておくが、お前の心配をしてるんじゃない
アッカーシェランの心配をしてるんだ
お前には万全の状態で出発してもらわないと困る",,,Randolf
