old,new,english,speaker
"ミスリウ森林深部に
ほとんど人はおりません",,,Christine
"私はここで一人、静かな森に身を任せ
祠を守っております",,,Christine
"岸辺の小屋には立ち寄られましたか？
イヴァンという狩人が暮らしております",,,Christine
"あの方は少し会話が不器用ですが
素晴らしい弓の名手
きっと覚者さまの力となってくれるでしょう",,,Christine
"この森には、古き民――
エルフに縁ある遺跡が点在しています
優しく美しい、今なお息吹ある建物です",,,Christine
"中に入った者いわく
ところどころに、不思議な青い床石があり
その意味を理解しなければ
先に進むことができないのだとか――",,,Christine
"このような祠でも、旅の疲れを取るくらいなら
できましょう、辺境ゆえ<VAL PRICE_INN>ほど
ご負担いただきますが",,,Christine
はい,Yes,,Christine
いいえ,No,,Christine
"このような木々の迷路――
そのまた奥までご苦労さまです
よくぞ迷わずにいらっしゃいました
それとも――迷ったあげくにここへ？",,,Christine
"いずれにしても
私が貴方さまのお役に立てましょう",,,Christine
"私はクリスティーヌ
ミスリウの、深き森のエリアマスターで
ございます",,,Christine
"ミスリウ深部には――
イニアス湖を中心として、エルフに由来する
遺跡が数多くあります
お時間が許すならば、どうぞお訪ねください",,,Christine
"しかし森はかつてないほど騒がしく
また獣たちも騒いでおります
場合によっては、覚者さまを頼りと
させていただくこともあるでしょう",,,Christine
"どうか、それをお心に留めおきください
森はいつでも貴方さまを歓迎いたします",,,Christine
"ささやかながら、貴方さまの
来訪時にお納めできる
品を用意いたしました",,,Christine
"これからもどうかこの地へ
お立ち寄りください",,,Christine
"覚者さま、イニアス湖北のほとりに
《密猟者のキャンプ》があるのは
ご存知でしょうか",,,Christine
"そこに出入りする者達は、獣のみならず
人をも狩りの対象にする、悪しき者達です",,,Christine
"どうぞ周囲を散策する時は
ご注意ください",,,Christine
"覚者さま、お願いがございます
エルフの遺跡の一つ
通称《蒼葉のテラス》についてなのですが――",,,Christine
"あの遺跡は手つかずの姿を保つため
入り口を封じていたのです",,,Christine
"しかし、その一角にグリフィンが住みつき
周囲を狩り場にするようになってしまいました",,,Christine
"そのせいで、ディナン深層林へ続く山道の
ガレキ撤去作業も滞っているようなのです",,,Christine
"入り口は開放いたします
どうか、その対処を頼めないでしょうか",,,Christine
"覚者さま
湖の西側、《イニアス湿地帯》にて
ブルーニュート達の中に、より強力で
人を脅かす者が現れたそうです",,,Christine
"コバルト色の電光を纏ったトカゲ――
イヴァンも注意するよう言っておりました",,,Christine
"どうか、近くを通る時は警戒を
そして可能であれば退治をお願いいたします",,,Christine
