old,english,speaker
"はい、覚者様――
まさか酒場でお会いすることになるとは",,Lyka
"普段は港洞におりますので
酒場での催しには詳しくないのです
本当に、こうして座っているだけで
よろしいのでしょうか？",,Lyka
"どうして私がお招きいただけたのか
よくわかりませんが――",,Lyka
"そちらにいらっしゃる旅の女性と
目が合った瞬間、ぜひにと頼まれたのです",,Lyka
"ここにこうして座っていると
楽しげな皆様を見ていられます
――時の流れも忘れてしまいそうです",,Lyka
"まぁ――
これを私に――？
このような贈り物をいただけるとは
思ってもみないことで――",,Lyka
"ありがとうございます、覚者様
これからも貴方様の旅路が
より良きものとなるよう
微力ながらもお手伝いさせていただきます",,Lyka
"ああ、このくらいしか言えないとは
私もまだまだですね――
もどかしいとは、こういった
気持ちをさすのでしょうか",,Lyka
"――？
どうなさったのですか？",,Lyka
"覚者様、ありがとうございます
しかし、今回の催しでは
“一人”に“一度”が規則とのこと――",,Lyka
