old,new,english,speaker
"塔の外からお越しとは――
用があるならお聞きしましょう",,,Gwenhwyfar
"宿泊をご希望なら<VAL PRICE_INN>です
ここは資源が限られていることもあり
旅人に大盤振る舞いというのはできないのです
それでも、よろしいですか？",,,Gwenhwyfar
はい,Yes,,Gwenhwyfar
いいえ,No,,Gwenhwyfar
"今は寝床に余裕があります
休みたいなら案内しましょうか？",,,Gwenhwyfar
はい,Yes,,Gwenhwyfar
いいえ,No,,Gwenhwyfar
"《弱化の治療》には
<VAL PRICE_WEAK>いただきますよ
なにぶん、物資も限られていますからね
治療をお望みですか？",,,Gwenhwyfar
はい,Yes,,Gwenhwyfar
いいえ,No,,Gwenhwyfar
"弱化にはなっていませんよ
気のせい、ということです
よろしいですね",,,Gwenhwyfar
"どうして塔に住んでいるのか、ですか？
我らは守っているのです
この塔に住むことで――",,,Gwenhwyfar
"何を守っているのかは――
長老のベレナスにでもお聞きください
我らは祖先より代々、この塔にて“守る”ために
ここにいると聞かされています",,,Gwenhwyfar
"きっとダナの住人たちは
彼らの武勇が村を守っていると
思っているでしょうね",,,Gwenhwyfar
"私に言わせれば、ダナの侵食が
比較的ゆるやかなのは
村の位置が関係しているだけです",,,Gwenhwyfar
"この場は私が取りまとめていますが
この《イヴァノスの塔》の成り立ちについては
長老のベレナスに聞いてください",,,Gwenhwyfar
"彼が素直に話すとは思えませんが――
私たちですら、いつも煙に巻かれるのです",,,Gwenhwyfar
