old,english,speaker
何か言いたいことでもあるのか？,,Adair Donnchadh
"さっきマンドラゴラの姿を見た
あれはここで飼われているものか？
フィンダムで見るものとは違う姿をしていたようだが",,Adair Donnchadh
"どうも“シェリーちゃん”なる魔物が
気にかかる",,Adair Donnchadh
"貴様ほどの者が護る神殿に
そう何度も侵入を試みるとは
俺の想像を超える強力な魔物なのだろう",,Adair Donnchadh
"白竜とも、精霊竜とも違う竜力を感じる
アッカーシェランの竜か？
それにしては――",,Adair Donnchadh
"毛玉――？
いや、布か
こういった感触の布は珍しい
ほう――こうして首に巻くのか――",,Adair Donnchadh
"なるほど、これは暖かいな
この寒さになるレスタニアならではの物だろう",,Adair Donnchadh
"フィンダムに戻れば首を温める必要はない
庵を彩る飾りにはなりそうだが",,Adair Donnchadh
"ふむ――
レスタニアに来るのはこれで何度目かになる
だが、貴様とこの地を歩いたことは無かったな",,Adair Donnchadh
"この祭りが終わったら
神殿の外を少し見て回ろうと思っている
時間があれば、共に来るがいい",,Adair Donnchadh
"――レスタニアの魔物との戦いに
興味が湧いただけだ
ついでに、長稽古を付けてやる
腕がなまっていないかの確認としてな",,Adair Donnchadh
