old,new,english,speaker
素敵な方。お目にかかれて光栄よ,Lovely person. It's an honor to meet you.,,0
良い旅になるように精一杯尽くすわ,I'll do my best to make it a good trip.,,0
あたしで良ければ、何でも言いつけて,You can tell me anything if you like.,,0
サポートはお任せを。ふふっ,Leave the support to us. Phew!,,0
気に入って頂けるよう努力するわ,I'll try to make sure you like it.,,0
マスターのこと、よろしくお願いしますね,"I look forward to working with you, Master.",,0
あら。マスター、あの方が来たみたい,"Oh, my. Master, I think he's here.",,0
さすがは、あたしのマスター,That's my master!,,0
うふふ！　いい成果でしたね,Hmmm!　That was a nice accomplishment.,,0
この結果、あなたの実力よ,"These results, you're good.",,0
こういうこともあるわ。気を落とさないで,These things happen. Don't let it get you down.,,0
ふふっ、ちょっといい感じになったかしら,"Phew, I hope that's a little better.",,0
みなぎってくる！,It's all coming together!,,0
いつまでも、お傍に置いて下さいね,Please keep them by your side forever.,,0
忘れ物はありません？　道具に、装備に――,"Have you forgotten anything?　Tools, equipment...",,0
さぁ、行きましょうかマスター,"Well, let's go, Master.",,0
あら、敵よ,"Oh, my God, it's the enemy.",,0
気をつけて。敵の気配が,Watch out. There's a sign of the enemy.,,0
何かいるわ、近くに,There's something here. It's close.,,0
マスター、あれを相手にするの？,"Master, are you going to deal with that?",,0
戦って大丈夫？　かなり手ごわそうよ,Are you sure you're up for this?　You look pretty tough.,,0
ん、ありがとう！,"Hmm, thanks!",,0
あぁっ、助けて！！,"Aah, help!",,0
ちっ、油断したわ――！,"Damn, I was caught off guard--!",,0
あぁ――こんなはずじゃ――,"Oh, this isn't-- this isn't how it's supposed to be.",,0
う！　ごめんなさい、マスター！,"Ugh!　I'm sorry, Master!",,0
さ、始めるわよ,"Okay, here we go.",,0
気合入れていきましょ！,Let's get into it!,,0
もっと満足させて頂戴,Please give me more satisfaction.,,0
ふふ、なかなか良かったわ,"Hmmm, that was pretty good.",,0
マスターに刃を向ける者は、あたしが許さない,I will not allow anyone to turn on the Master.,,0
さぁ、お願い！　抑えてる間に！,"Now, please! While I have it under control!",,0
この程度、何でもないわ,"It's nothing, really",,0
まずいわね――何とかしなくちゃ,This is not good--we have to do something.,,0
ちょっと辛くなってきたわ――,It's getting a little spicy--,,0
うっ！　今は、倒れるわけにはいかない――,Ugh!　I can't go down now--,,0
何とか――耐えなくちゃ――！,Somehow - I have to endure - I have to endure!,,0
ねぇちょっと！？　　だめよ、マスター！,"Hey, hey!　　No, Master!",,0
いくわよっ！,Here we go!,,0
大丈夫、すぐに癒すわ,"Don't worry, I'll heal you in no time.",,0
そこのあなた！　あたしを見なさい！,You there!　Look at me!,,0
サポートは任せて！,Leave the support to us!,,0
やめなさい！,Don't do it!,,0
これでどう？,How about this?,,0
はっ！　倒れなさい！,Ha!　Fall!,,0
しつこいのよ！！,Persistent!!,,0
あたしに乗って！　早く！！,Jump on me! Quickly!!,,0
解ったわ！,Understood!,,0
仰せのままに,At your command,,0
え！？　急に言われても――,What!? Even if you suddenly say that--,,0
あら、持ち物の整理ですか？,"Oh, are you organizing your belongings?",,0
道具を確認するってことは、そろそろ出発かしら？,"If we're checking our gear, does that mean we're about to leave?",,0
ちょっと休んでいってもいいんじゃないかしら、マスター,"I think it's time for you to take a break, Master.",,0
ね、ここでゆっくり過ごすのも素敵よ,"Hey, it's nice to spend some time here.",,0
おやすみなさい、マスター,"Good night, Master.",,0
次の冒険のためにも、しっかり休んでくださいね,Rest well for your next adventure!,,0
何だかお部屋の雰囲気が変わったみたい！,It's like the atmosphere of the room has changed somehow!,,0
さすがはマスター、センス抜群ね,"As expected of you, Master. Your sense is excellent.",,0
マスター、エリア探索から戻りました,"Master, I'm back from exploring the area.",,0
今回のエリア探索、とても良い成果を上げられたのよ！,We've had very good results exploring the area this time!,,0
うーん――なるほどねぇ,Hmmm--I see what you mean.,,0
見て！　庭に何か来てるわ！,Look!　There's something in the garden!,,0
ん、我ながら良い香りだわ――,"Hmm, it smells good, even if I say so myself.",,0
新しい装備、似合ってるかしら？,Do I look good in my new gear?,,0
この装備に見合う働きをしなきゃね,We've got to work to match this equipment.,,0
このスキル、試すのが楽しみだわ,I'm looking forward to trying this skill.,,0
今までとは一味違う働きをお見せするわ、マスター,"I will show you a different kind of work, Master.",,0
ずーっと、ここで暮らすのもいいと思わない？　マスター,Wouldn't it be nice to live here all the time?　Master--,,0
ん？ 今日はどこに行きます？,Hmm? Where are we going today?,,0
どうかしました？　マスター,What's wrong?　Master--,,0
うふふ、ここに居るわ,"I'm here, hehe",,0
お傍に居られて、あたしとっても幸せよ――,I'm so happy to be by your side.,,0
"この前、別の覚者さまのクラフトのお手伝いをしたの
我ながらいいものが作れましたよ","I helped another Arisen with a craft the other day
I made a good one myself!",,0
"先日、別の覚者さまの冒険をサポートしてきたの
どう？　頑張ってきたのよ","I recently assisted another Arisen lady with her adventure
What do you think? I've been working hard!",,0
"別の覚者さまが、あたしを見て
センスが素敵だって褒めてらしたわ！","Another Arisen looked at me and complimented me on my
sense of style!",,0
マスター、今日は私から戦技の提案があるの,"Master, I have a proposal for combat techniques today.",,0
"マスター、あなたにお仕えしてきたおかげで
あたしの意思疎通力が上がったわ！","Master, serving you has improved
my communication skills!",,0
マスター、今日はあたしから髪型の提案をしたいの！,"Master, today I would like to make a hairstyle suggestion!",,0
"新しい家財を手に入れたのね
素敵なお部屋になりそう――","You've got a new family property
It's going to be a great room--",,0
おかえりなさい、マスター,"Welcome back, Master.",,0
マスター、ご無事で良かったわ,"Master, I'm so glad you're okay.",,0
ああ、マスター！　戻ってきてくれたのね！,"Oh, Master!　You're back!",,0
お疲れ様でした、マスター,"Thank you for your hard work, Master.",,0
部屋に戻ると何だか力が抜けちゃうわね,It's kind of relaxing to be back in your room.,,0
旅は長いわ、一休みしていきましょう,The journey is long. Let's take a break.,,0
ここでは気楽にいきましょ,Let's take it easy here.,,0
マスター、道具とか依頼の確認はいいの？,"Master, can we check on the tools and requests?",,0
ちょっと！ 今行くわ！,Hold on! I'm going right now!,,0
やだ危ない、待っててくださいね,"Oh no, it's dangerous. Please wait for me.",,0
大丈夫よ、マスター,"It's okay, Master.",,0
あたしがついてるわ！,I'm here for you!,,0
ふふ、怒ってるのね！,"Hmmm, you're getting riled up!",,0
敵が興奮してるみたい！　気を付けて！,"Be careful, it seems like the enemy is getting excited!",,0
疲れてるわね、チャンスよ！,"Look, it's tired, here's your chance!",,0
